"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Geographic code, census division","Geographic code, census metropolitan area or census agglomeration","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"2432040","Plessisville","Ville","Quebec","24","32","","6.0","00000","2016","3055","100","870","28.5","555","18.2","270","8.8","10","0.3","30","1","70","2.3","1255","41.1"
"2433090","Saint-Apollinaire","Municipalité","Quebec","24","33","","2.9","00000","2011","2110","100","615","29.1","665","31.5","165","7.8","20","0.9","40","1.9","35","1.7","560","26.5"
"2433090","Saint-Apollinaire","Municipalité","Quebec","24","33","","2.9","00000","2016","2585","100","810","31.3","780","30.2","175","6.8","20","0.8","45","1.7","50","1.9","710","27.5"
"2434017","Pont-Rouge","Ville","Quebec","24","34","","1.8","00000","2011","3470","100","1080","31.1","1160","33.4","285","8.2","25","0.7","60","1.7","60","1.7","800","23.1"
"2434017","Pont-Rouge","Ville","Quebec","24","34","","1.8","00000","2016","3760","100","1150","30.6","1175","31.3","330","8.8","35","0.9","55","1.5","60","1.6","960","25.5"
"2434025","Donnacona","Ville","Quebec","24","34","","7.6","00000","2011","2825","100","875","31","585","20.7","215","7.6","15","0.5","35","1.2","95","3.4","1010","35.8"
"2434025","Donnacona","Ville","Quebec","24","34","","7.6","00000","2016","3110","100","930","29.9","670","21.5","245","7.9","10","0.3","40","1.3","90","2.9","1120","36"
"2434128","Saint-Raymond","Ville","Quebec","24","34","","4.1","00000","2011","4135","100","1305","31.6","1105","26.7","295","7.1","25","0.6","70","1.7","80","1.9","1245","30.1"
"2434128","Saint-Raymond","Ville","Quebec","24","34","","4.1","00000","2016","4470","100","1465","32.8","1085","24.3","340","7.6","30","0.7","55","1.2","85","1.9","1410","31.5"
"2436033","Shawinigan","Ville","Quebec","24","36","444","4.0","00000","2011","24165","100","6825","28.2","4140","17.1","2315","9.6","165","0.7","435","1.8","745","3.1","9540","39.5"
"2436033","Shawinigan","Ville","Quebec","24","36","444","4.0","00000","2016","24410","100","7085","29","3720","15.2","2185","9","160","0.7","385","1.6","795","3.3","10075","41.3"
"2437067","Trois-Rivières","Ville","Quebec","24","37","442","4.5","00000","2011","61390","100","16590","27","12185","19.8","5590","9.1","450","0.7","1085","1.8","2360","3.8","23130","37.7"
"2437067","Trois-Rivières","Ville","Quebec","24","37","442","4.5","00000","2016","63155","100","17420","27.6","11730","18.6","5800","9.2","450","0.7","990","1.6","2360","3.7","24415","38.7"
"2437235","Notre-Dame-du-Mont-Carmel","Paroisse (municipalité de)","Quebec","24","37","","2.7","00000","2011","2220","100","735","33.1","685","30.9","155","7","20","0.9","55","2.5","50","2.3","525","23.6"
"2437235","Notre-Dame-du-Mont-Carmel","Paroisse (municipalité de)","Quebec","24","37","","2.7","00000","2016","2370","100","780","32.9","655","27.6","195","8.2","30","1.3","50","2.1","45","1.9","615","25.9"
