"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Geographic code, census division","Geographic code, census metropolitan area or census agglomeration","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"2458007","Brossard","Ville","Quebec","24","58","462","2.8","00000","2016","33255","100","8515","25.6","10165","30.6","3030","9.1","1100","3.3","1000","3","790","2.4","8655","26"
"2458012","Saint-Lambert","Ville","Quebec","24","58","462","5.1","00000","2011","9990","100","2420","24.2","2275","22.8","810","8.1","55","0.6","95","1","200","2","4140","41.4"
"2458012","Saint-Lambert","Ville","Quebec","24","58","462","5.1","00000","2016","9815","100","2370","24.1","2315","23.6","870","8.9","50","0.5","85","0.9","160","1.6","3960","40.3"
"2458033","Boucherville","Ville","Quebec","24","58","462","2.8","00000","2011","16235","100","5320","32.8","5180","31.9","1430","8.8","170","1","270","1.7","290","1.8","3575","22"
"2458033","Boucherville","Ville","Quebec","24","58","462","2.8","00000","2016","16890","100","5430","32.1","5025","29.8","1575","9.3","200","1.2","245","1.5","270","1.6","4145","24.5"
"2458037","Saint-Bruno-de-Montarville","Ville","Quebec","24","58","462","2.3","00000","2011","9990","100","3015","30.2","3550","35.5","915","9.2","105","1.1","175","1.8","125","1.3","2105","21.1"
"2458037","Saint-Bruno-de-Montarville","Ville","Quebec","24","58","462","2.3","00000","2016","10245","100","3180","31","3450","33.7","980","9.6","115","1.1","165","1.6","135","1.3","2210","21.6"
"2458227","Longueuil","Ville","Quebec","24","58","462","3.3","00000","2011","102065","100","24140","23.7","23715","23.2","11075","10.9","1605","1.6","2915","2.9","4245","4.2","34380","33.7"
"2458227","Longueuil","Ville","Quebec","24","58","462","3.3","00000","2016","105535","100","24880","23.6","24270","23","11170","10.6","1690","1.6","2820","2.7","4315","4.1","36395","34.5"
"2459010","Sainte-Julie","Ville","Quebec","24","59","462","2.0","00000","2011","10780","100","2805","26","4450","41.3","1125","10.4","120","1.1","220","2","170","1.6","1900","17.6"
"2459010","Sainte-Julie","Ville","Quebec","24","59","462","2.0","00000","2016","11080","100","3035","27.4","4105","37","1190","10.7","135","1.2","200","1.8","185","1.7","2225","20.1"
"2459015","Saint-Amable","Municipalité","Quebec","24","59","462","1.8","00000","2011","3995","100","1025","25.7","1565","39.2","320","8","100","2.5","160","4","110","2.8","705","17.6"
"2459015","Saint-Amable","Municipalité","Quebec","24","59","462","1.8","00000","2016","4555","100","1175","25.8","1620","35.6","455","10","110","2.4","175","3.8","125","2.7","895","19.6"
"2459020","Varennes","Ville","Quebec","24","59","462","2.9","00000","2011","7895","100","2065","26.2","3045","38.6","805","10.2","110","1.4","140","1.8","140","1.8","1585","20.1"
"2459020","Varennes","Ville","Quebec","24","59","462","2.9","00000","2016","8160","100","2295","28.1","2835","34.7","875","10.7","95","1.2","160","2","160","2","1745","21.4"
"2459025","Verchères","Municipalité","Quebec","24","59","462","2.9","00000","2011","2320","100","720","31","700","30.2","205","8.8","25","1.1","45","1.9","65","2.8","555","23.9"
"2459025","Verchères","Municipalité","Quebec","24","59","462","2.9","00000","2016","2390","100","745","31.2","730","30.5","210","8.8","20","0.8","30","1.3","50","2.1","600","25.1"
"2459035","Contrecoeur","Ville","Quebec","24","59","","3.5","00000","2011","2730","100","945","34.6","630","23.1","230","8.4","35","1.3","60","2.2","65","2.4","765","28"
"2459035","Contrecoeur","Ville","Quebec","24","59","","3.5","00000","2016","3545","100","1110","31.3","795","22.4","325","9.2","40","1.1","70","2","85","2.4","1115","31.5"
"2460005","Charlemagne","Ville","Quebec","24","60","462","2.2","00000","2011","2795","100","820","29.3","515","18.4","245","8.8","45","1.6","70","2.5","110","3.9","990","35.4"
"2460005","Charlemagne","Ville","Quebec","24","60","462","2.2","00000","2016","2880","100","845","29.3","495","17.2","260","9","50","1.7","70","2.4","95","3.3","1055","36.6"
"2460013","Repentigny","Ville","Quebec","24","60","462","2.0","00000","2011","32540","100","9375","28.8","10195","31.3","3170","9.7","585","1.8","930","2.9","710","2.2","7580","23.3"
"2460013","Repentigny","Ville","Quebec","24","60","462","2.0","00000","2016","33320","100","9690","29.1","9950","29.9","3335","10","720","2.2","930","2.8","760","2.3","7935","23.8"
"2460028","L'Assomption","Ville","Quebec","24","60","462","2.8","00000","2011","7935","100","2155","27.2","2570","32.4","845","10.6","105","1.3","200","2.5","200","2.5","1860","23.4"
"2460028","L'Assomption","Ville","Quebec","24","60","462","2.8","00000","2016","8735","100","2300","26.3","2780","31.8","940","10.8","175","2","235","2.7","220","2.5","2090","23.9"
"2460035","L'Épiphanie","Ville","Quebec","24","60","462","3.9","00000","2011","2045","100","495","24.2","630","30.8","260","12.7","40","2","60","2.9","65","3.2","495","24.2"
"2460035","L'Épiphanie","Ville","Quebec","24","60","462","3.9","00000","2016","2165","100","530","24.5","620","28.6","275","12.7","35","1.6","65","3","65","3","570","26.3"
"2461005","Saint-Paul","Municipalité","Quebec","24","61","456","1.9","00000","2011","2060","100","640","31.1","625","30.3","205","10","25","1.2","70","3.4","55","2.7","440","21.4"
"2461005","Saint-Paul","Municipalité","Quebec","24","61","456","1.9","00000","2016","2395","100","720","30.1","705","29.4","250","10.4","40","1.7","55","2.3","65","2.7","565","23.6"
"2461025","Joliette","Ville","Quebec","24","61","456","5.7","00000","2011","9435","100","2065","21.9","1530","16.2","1025","10.9","90","1","210","2.2","470","5","4050","42.9"
"2461025","Joliette","Ville","Quebec","24","61","456","5.7","00000","2016","9780","100","2260","23.1","1430","14.6","1060","10.8","95","1","240","2.5","465","4.8","4230","43.3"
"2461030","Notre-Dame-des-Prairies","Ville","Quebec","24","61","456","3.5","00000","2011","4000","100","1270","31.8","920","23","360","9","30","0.8","100","2.5","105","2.6","1215","30.4"
"2461030","Notre-Dame-des-Prairies","Ville","Quebec","24","61","456","3.5","00000","2016","4250","100","1325","31.2","905","21.3","410","9.6","35","0.8","85","2","110","2.6","1380","32.5"
"2461035","Saint-Charles-Borromée","Municipalité","Quebec","24","61","456","7.5","00000","2011","5930","100","1750","29.5","1255","21.2","495","8.3","45","0.8","110","1.9","155","2.6","2120","35.8"
"2461035","Saint-Charles-Borromée","Municipalité","Quebec","24","61","456","7.5","00000","2016","6050","100","1845","30.5","1145","18.9","525","8.7","45","0.7","115","1.9","145","2.4","2240","37"
"2462007","Saint-Félix-de-Valois","Municipalité","Quebec","24","62","","3.7","00000","2011","2545","100","835","32.8","655","25.7","225","8.8","30","1.2","55","2.2","70","2.8","670","26.3"
"2462007","Saint-Félix-de-Valois","Municipalité","Quebec","24","62","","3.7","00000","2016","2695","100","865","32.1","645","23.9","255","9.5","20","0.7","70","2.6","65","2.4","770","28.6"
"2462037","Rawdon","Municipalité","Quebec","24","62","","5.1","00000","2011","4530","100","1350","29.8","970","21.4","410","9.1","75","1.7","145","3.2","155","3.4","1425","31.5"
"2462037","Rawdon","Municipalité","Quebec","24","62","","5.1","00000","2016","4865","100","1405","28.9","970","19.9","445","9.1","90","1.8","160","3.3","175","3.6","1620","33.3"
"2463035","Saint-Roch-de-l'Achigan","Municipalité","Quebec","24","63","","2.3","00000","2011","1935","100","525","27.1","625","32.3","180","9.3","25","1.3","70","3.6","50","2.6","450","23.3"
"2463035","Saint-Roch-de-l'Achigan","Municipalité","Quebec","24","63","","2.3","00000","2016","2035","100","595","29.2","595","29.2","200","9.8","40","2","75","3.7","75","3.7","455","22.4"
"2463048","Saint-Lin--Laurentides","Ville","Quebec","24","63","462","2.8","00000","2011","6615","100","1675","25.3","2140","32.4","615","9.3","175","2.6","315","4.8","220","3.3","1475","22.3"
"2463048","Saint-Lin--Laurentides","Ville","Quebec","24","63","462","2.8","00000","2016","8085","100","2030","25.1","2455","30.4","845","10.5","215","2.7","350","4.3","295","3.6","1895","23.4"
"2463055","Saint-Calixte","Municipalité","Quebec","24","63","","3.7","00000","2011","2755","100","815","29.6","525","19.1","225","8.2","55","2","80","2.9","120","4.4","930","33.8"
"2463055","Saint-Calixte","Municipalité","Quebec","24","63","","3.7","00000","2016","2835","100","805","28.4","530","18.7","225","7.9","55","1.9","95","3.4","135","4.8","995","35.1"
"2463060","Sainte-Julienne","Municipalité","Quebec","24","63","","4.0","00000","2011","3890","100","1175","30.2","965","24.8","325","8.4","80","2.1","145","3.7","160","4.1","1050","27"
"2463060","Sainte-Julienne","Municipalité","Quebec","24","63","","4.0","00000","2016","4180","100","1190","28.5","1045","25","340","8.1","75","1.8","180","4.3","170","4.1","1180","28.2"
"2464008","Terrebonne","Ville","Quebec","24","64","462","1.8","00000","2011","39385","100","9970","25.3","14490","36.8","4080","10.4","930","2.4","1355","3.4","1000","2.5","7560","19.2"
"2464008","Terrebonne","Ville","Quebec","24","64","462","1.8","00000","2016","41800","100","10555","25.3","14450","34.6","4490","10.7","1050","2.5","1450","3.5","960","2.3","8840","21.1"
"2464015","Mascouche","Ville","Quebec","24","64","462","2.7","00000","2011","15790","100","4175","26.4","5675","35.9","1570","9.9","325","2.1","550","3.5","405","2.6","3085","19.5"
"2464015","Mascouche","Ville","Quebec","24","64","462","2.7","00000","2016","17900","100","4770","26.6","5850","32.7","1890","10.6","385","2.2","505","2.8","415","2.3","4090","22.8"
"2465005","Laval","Ville","Quebec","24","65","462","2.9","00000","2011","154455","100","36945","23.9","49585","32.1","15465","10","3985","2.6","4450","2.9","4100","2.7","39930","25.9"
"2465005","Laval","Ville","Quebec","24","65","462","2.9","00000","2016","160330","100","36920","23","51930","32.4","16480","10.3","4570","2.9","4360","2.7","4145","2.6","41920","26.1"
"2466023","Montréal","Ville","Quebec","24","66","462","3.9","00000","2011","759945","100","143540","18.9","154100","20.3","74625","9.8","11495","1.5","18985","2.5","47970","6.3","309220","40.7"
"2466023","Montréal","Ville","Quebec","24","66","462","3.9","00000","2016","779800","100","145115","18.6","162485","20.8","76235","9.8","11410","1.5","17465","2.2","48770","6.3","318325","40.8"
"2466032","Westmount","Ville","Quebec","24","66","462","3.2","00000","2011","8635","100","2030","23.5","2245","26","665","7.7","60","0.7","160","1.9","320","3.7","3155","36.5"
"2466032","Westmount","Ville","Quebec","24","66","462","3.2","00000","2016","8685","100","2080","23.9","2300","26.5","720","8.3","60","0.7","140","1.6","330","3.8","3050","35.1"
"2466047","Montréal-Ouest","Ville","Quebec","24","66","462","2.5","00000","2011","1845","100","430","23.3","775","42","215","11.7","15","0.8","30","1.6","40","2.2","340","18.4"
"2466047","Montréal-Ouest","Ville","Quebec","24","66","462","2.5","00000","2016","1850","100","450","24.3","775","41.9","180","9.7","20","1.1","35","1.9","30","1.6","360","19.5"
"2466058","Côte-Saint-Luc","Ville","Quebec","24","66","462","4.0","00000","2011","13565","100","3250","24","3585","26.4","1165","8.6","180","1.3","275","2","285","2.1","4830","35.6"
"2466058","Côte-Saint-Luc","Ville","Quebec","24","66","462","4.0","00000","2016","13490","100","3185","23.6","3740","27.7","1195","8.9","180","1.3","210","1.6","275","2","4705","34.9"
"2466062","Hampstead","Ville","Quebec","24","66","462","1.7","00000","2011","2510","100","600","23.9","1005","40","195","7.8","25","1","90","3.6","65","2.6","540","21.5"
"2466062","Hampstead","Ville","Quebec","24","66","462","1.7","00000","2016","2475","100","600","24.2","980","39.6","220","8.9","30","1.2","60","2.4","70","2.8","525","21.2"
"2466072","Mont-Royal","Ville","Quebec","24","66","462","2.7","00000","2011","7045","100","1550","22","2765","39.2","625","8.9","105","1.5","155","2.2","180","2.6","1670","23.7"
"2466072","Mont-Royal","Ville","Quebec","24","66","462","2.7","00000","2016","7370","100","1560","21.2","2965","40.2","725","9.8","115","1.6","120","1.6","115","1.6","1775","24.1"
"2466087","Dorval","Ville","Quebec","24","66","462","2.8","00000","2011","7990","100","1825","22.8","2015","25.2","720","9","130","1.6","155","1.9","255","3.2","2895","36.2"
"2466087","Dorval","Ville","Quebec","24","66","462","2.8","00000","2016","8390","100","1900","22.6","2050","24.4","770","9.2","145","1.7","175","2.1","250","3","3100","36.9"
"2466097","Pointe-Claire","Ville","Quebec","24","66","462","3.8","00000","2011","12070","100","2850","23.6","3890","32.2","1125","9.3","240","2","215","1.8","250","2.1","3495","29"
"2466097","Pointe-Claire","Ville","Quebec","24","66","462","3.8","00000","2016","12375","100","2940","23.8","3885","31.4","1140","9.2","255","2.1","230","1.9","220","1.8","3710","30"
"2466102","Kirkland","Ville","Quebec","24","66","462","1.7","00000","2011","6825","100","1505","22.1","3410","50","570","8.4","255","3.7","185","2.7","75","1.1","840","12.3"
"2466102","Kirkland","Ville","Quebec","24","66","462","1.7","00000","2016","6685","100","1680","25.1","3160","47.3","585","8.8","230","3.4","170","2.5","55","0.8","805","12"
"2466107","Beaconsfield","Ville","Quebec","24","66","462","1.7","00000","2011","6685","100","1780","26.6","3000","44.9","545","8.2","130","1.9","130","1.9","85","1.3","1020","15.3"
"2466107","Beaconsfield","Ville","Quebec","24","66","462","1.7","00000","2016","6660","100","1795","27","2955","44.4","565","8.5","105","1.6","130","2","85","1.3","1025","15.4"
"2466142","Dollard-Des Ormeaux","Ville","Quebec","24","66","462","2.3","00000","2011","16955","100","3585","21.1","6825","40.3","1735","10.2","745","4.4","545","3.2","320","1.9","3205","18.9"
"2466142","Dollard-Des Ormeaux","Ville","Quebec","24","66","462","2.3","00000","2016","17210","100","3875","22.5","6550","38.1","1765","10.3","725","4.2","480","2.8","285","1.7","3535","20.5"
"2467010","Saint-Philippe","Municipalité","Quebec","24","67","462","2.3","00000","2011","2105","100","665","31.6","730","34.7","165","7.8","35","1.7","70","3.3","55","2.6","385","18.3"
"2467010","Saint-Philippe","Municipalité","Quebec","24","67","462","2.3","00000","2016","2490","100","760","30.5","780","31.3","210","8.4","45","1.8","85","3.4","70","2.8","540","21.7"
"2467015","La Prairie","Ville","Quebec","24","67","462","2.6","00000","2011","9105","100","2190","24.1","3190","35","925","10.2","115","1.3","170","1.9","250","2.7","2270","24.9"
"2467015","La Prairie","Ville","Quebec","24","67","462","2.6","00000","2016","9700","100","2320","23.9","3115","32.1","985","10.2","130","1.3","195","2","245","2.5","2705","27.9"
"2467020","Candiac","Ville","Quebec","24","67","462","1.8","00000","2011","7420","100","1930","26","2970","40","730","9.8","100","1.3","120","1.6","120","1.6","1450","19.5"
"2467020","Candiac","Ville","Quebec","24","67","462","1.8","00000","2016","7830","100","1960","25","3140","40.1","845","10.8","100","1.3","130","1.7","105","1.3","1550","19.8"
"2467025","Delson","Ville","Quebec","24","67","462","1.8","00000","2011","2885","100","830","28.8","980","34","315","10.9","50","1.7","95","3.3","55","1.9","560","19.4"
"2467025","Delson","Ville","Quebec","24","67","462","1.8","00000","2016","2885","100","800","27.7","955","33.1","305","10.6","60","2.1","100","3.5","75","2.6","585","20.3"
"2467030","Sainte-Catherine","Ville","Quebec","24","67","462","3.0","00000","2011","6560","100","1645","25.1","2185","33.3","745","11.4","110","1.7","190","2.9","160","2.4","1520","23.2"
"2467030","Sainte-Catherine","Ville","Quebec","24","67","462","3.0","00000","2016","6755","100","1660","24.6","2140","31.7","780","11.5","110","1.6","185","2.7","165","2.4","1710","25.3"
"2467035","Saint-Constant","Ville","Quebec","24","67","462","2.2","00000","2011","8905","100","2325","26.1","3625","40.7","880","9.9","205","2.3","310","3.5","155","1.7","1405","15.8"
"2467035","Saint-Constant","Ville","Quebec","24","67","462","2.2","00000","2016","10115","100","2735","27","3840","38","1040","10.3","195","1.9","275","2.7","210","2.1","1820","18"
"2467045","Mercier","Ville","Quebec","24","67","462","2.0","00000","2011","4320","100","1245","28.8","1590","36.8","420","9.7","85","2","125","2.9","80","1.9","785","18.2"
"2467045","Mercier","Ville","Quebec","24","67","462","2.0","00000","2016","4840","100","1390","28.7","1810","37.4","470","9.7","90","1.9","130","2.7","85","1.8","865","17.9"
"2467050","Châteauguay","Ville","Quebec","24","67","462","2.8","00000","2011","17905","100","4750","26.5","5425","30.3","2000","11.2","425","2.4","565","3.2","410","2.3","4330","24.2"
"2467050","Châteauguay","Ville","Quebec","24","67","462","2.8","00000","2016","18795","100","4820","25.6","5515","29.3","2065","11","480","2.6","630","3.4","535","2.8","4755","25.3"
"2468055","Saint-Rémi","Ville","Quebec","24","68","","4.0","00000","2011","2890","100","765","26.5","855","29.6","280","9.7","45","1.6","75","2.6","80","2.8","795","27.5"
"2468055","Saint-Rémi","Ville","Quebec","24","68","","4.0","00000","2016","3380","100","905","26.8","870","25.7","330","9.8","50","1.5","75","2.2","95","2.8","1040","30.8"
"2470012","Sainte-Martine","Municipalité","Quebec","24","70","","2.2","00000","2011","2070","100","595","28.7","615","29.7","170","8.2","30","1.4","50","2.4","50","2.4","560","27.1"
"2470012","Sainte-Martine","Municipalité","Quebec","24","70","","2.2","00000","2016","2305","100","690","29.9","630","27.3","215","9.3","30","1.3","50","2.2","60","2.6","635","27.5"
"2470022","Beauharnois","Ville","Quebec","24","70","462","3.4","00000","2011","5330","100","1665","31.2","1190","22.3","485","9.1","65","1.2","140","2.6","150","2.8","1635","30.7"
"2470022","Beauharnois","Ville","Quebec","24","70","462","3.4","00000","2016","5795","100","1755","30.3","1225","21.1","525","9.1","75","1.3","145","2.5","150","2.6","1925","33.2"
"2470052","Salaberry-de-Valleyfield","Ville","Quebec","24","70","465","5.0","00000","2011","18295","100","5025","27.5","3665","20","1770","9.7","200","1.1","475","2.6","610","3.3","6545","35.8"
"2470052","Salaberry-de-Valleyfield","Ville","Quebec","24","70","465","5.0","00000","2016","18625","100","5115","27.5","3510","18.8","1825","9.8","220","1.2","470","2.5","620","3.3","6860","36.8"
"2471025","Saint-Zotique","Municipalité","Quebec","24","71","462","2.0","00000","2011","2730","100","890","32.6","860","31.5","215","7.9","40","1.5","65","2.4","60","2.2","600","22"
"2471025","Saint-Zotique","Municipalité","Quebec","24","71","462","2.0","00000","2016","3225","100","1010","31.3","975","30.2","270","8.4","40","1.2","75","2.3","70","2.2","785","24.3"
"2471033","Les Coteaux","Municipalité","Quebec","24","71","462","2.2","00000","2011","1835","100","490","26.7","600","32.7","195","10.6","25","1.4","40","2.2","30","1.6","450","24.5"
"2471033","Les Coteaux","Municipalité","Quebec","24","71","462","2.2","00000","2016","2200","100","530","24.1","665","30.2","265","12","35","1.6","50","2.3","50","2.3","605","27.5"
"2471040","Coteau-du-Lac","Ville","Quebec","24","71","462","2.9","00000","2011","2570","100","700","27.2","930","36.2","225","8.8","35","1.4","70","2.7","60","2.3","545","21.2"
"2471040","Coteau-du-Lac","Ville","Quebec","24","71","462","2.9","00000","2016","2645","100","770","29.1","900","34","250","9.5","35","1.3","75","2.8","50","1.9","570","21.6"
"2471050","Les Cèdres","Municipalité","Quebec","24","71","462","1.7","00000","2011","2320","100","675","29.1","870","37.5","220","9.5","30","1.3","50","2.2","40","1.7","440","19"
"2471050","Les Cèdres","Municipalité","Quebec","24","71","462","1.7","00000","2016","2605","100","770","29.6","880","33.8","255","9.8","50","1.9","60","2.3","65","2.5","530","20.3"
"2471060","L'Île-Perrot","Ville","Quebec","24","71","462","2.6","00000","2011","4560","100","1140","25","1175","25.8","535","11.7","65","1.4","90","2","140","3.1","1405","30.8"
"2471060","L'Île-Perrot","Ville","Quebec","24","71","462","2.6","00000","2016","4690","100","1110","23.7","1150","24.5","575","12.3","75","1.6","115","2.5","140","3","1520","32.4"
"2471065","Notre-Dame-de-l'Île-Perrot","Ville","Quebec","24","71","462","1.3","00000","2011","3680","100","1005","27.3","1655","45","290","7.9","90","2.4","95","2.6","45","1.2","500","13.6"
"2471065","Notre-Dame-de-l'Île-Perrot","Ville","Quebec","24","71","462","1.3","00000","2016","3750","100","1020","27.2","1595","42.5","290","7.7","110","2.9","110","2.9","65","1.7","575","15.3"
"2471070","Pincourt","Ville","Quebec","24","71","462","1.6","00000","2011","5245","100","1365","26","2030","38.7","480","9.2","115","2.2","160","3.1","105","2","985","18.8"
"2471070","Pincourt","Ville","Quebec","24","71","462","1.6","00000","2016","5475","100","1405","25.7","2025","37","530","9.7","115","2.1","125","2.3","85","1.6","1180","21.6"
"2471083","Vaudreuil-Dorion","Ville","Quebec","24","71","462","2.5","00000","2011","12925","100","3300","25.5","4280","33.1","1235","9.6","260","2","345","2.7","270","2.1","3235","25"
"2471083","Vaudreuil-Dorion","Ville","Quebec","24","71","462","2.5","00000","2016","14455","100","3435","23.8","4885","33.8","1495","10.3","335","2.3","305","2.1","310","2.1","3680","25.5"
"2471100","Hudson","Ville","Quebec","24","71","462","2.2","00000","2011","2125","100","735","34.6","600","28.2","150","7.1","25","1.2","50","2.4","35","1.6","535","25.2"
"2471100","Hudson","Ville","Quebec","24","71","462","2.2","00000","2016","2240","100","790","35.3","555","24.8","155","6.9","35","1.6","50","2.2","45","2","620","27.7"
"2471105","Saint-Lazare","Ville","Quebec","24","71","462","1.6","00000","2011","6410","100","1670","26.1","3110","48.5","475","7.4","165","2.6","145","2.3","75","1.2","775","12.1"
"2471105","Saint-Lazare","Ville","Quebec","24","71","462","1.6","00000","2016","6745","100","1885","27.9","3065","45.4","520","7.7","165","2.4","190","2.8","75","1.1","850","12.6"
"2471133","Rigaud","Ville","Quebec","24","71","","4.5","00000","2011","3065","100","920","30","775","25.3","285","9.3","45","1.5","75","2.4","75","2.4","890","29"
"2471133","Rigaud","Ville","Quebec","24","71","","4.5","00000","2016","3285","100","995","30.3","790","24","270","8.2","65","2","85","2.6","85","2.6","995","30.3"
"2472005","Saint-Eustache","Ville","Quebec","24","72","462","2.8","00000","2011","18010","100","4685","26","5105","28.3","1870","10.4","400","2.2","550","3.1","515","2.9","4885","27.1"
"2472005","Saint-Eustache","Ville","Quebec","24","72","462","2.8","00000","2016","18345","100","4830","26.3","4770","26","1905","10.4","410","2.2","510","2.8","520","2.8","5395","29.4"
"2472010","Deux-Montagnes","Ville","Quebec","24","72","462","2.3","00000","2011","6985","100","1605","23","2285","32.7","840","12","90","1.3","210","3","205","2.9","1745","25"
"2472010","Deux-Montagnes","Ville","Quebec","24","72","462","2.3","00000","2016","7095","100","1725","24.3","2175","30.7","840","11.8","115","1.6","195","2.7","200","2.8","1845","26"
"2472015","Sainte-Marthe-sur-le-Lac","Ville","Quebec","24","72","462","1.6","00000","2011","6035","100","1695","28.1","2115","35","550","9.1","120","2","195","3.2","155","2.6","1205","20"
"2472015","Sainte-Marthe-sur-le-Lac","Ville","Quebec","24","72","462","1.6","00000","2016","6870","100","1800","26.2","2480","36.1","615","9","140","2","215","3.1","150","2.2","1455","21.2"
"2472020","Pointe-Calumet","Municipalité","Quebec","24","72","462","2.3","00000","2011","2540","100","595","23.4","750","29.5","265","10.4","75","3","130","5.1","100","3.9","635","25"
"2472020","Pointe-Calumet","Municipalité","Quebec","24","72","462","2.3","00000","2016","2620","100","615","23.5","720","27.5","280","10.7","75","2.9","125","4.8","115","4.4","700","26.7"
"2472025","Saint-Joseph-du-Lac","Municipalité","Quebec","24","72","462","1.9","00000","2011","2265","100","655","28.9","850","37.5","180","7.9","55","2.4","90","4","55","2.4","390","17.2"
"2472025","Saint-Joseph-du-Lac","Municipalité","Quebec","24","72","462","1.9","00000","2016","2530","100","710","28.1","890","35.2","210","8.3","65","2.6","75","3","65","2.6","500","19.8"
"2473005","Boisbriand","Ville","Quebec","24","73","462","2.0","00000","2011","9940","100","2280","22.9","3530","35.5","1280","12.9","185","1.9","245","2.5","285","2.9","2135","21.5"
"2473005","Boisbriand","Ville","Quebec","24","73","462","2.0","00000","2016","10285","100","2425","23.6","3390","33","1260","12.3","170","1.7","270","2.6","300","2.9","2485","24.2"
"2473010","Sainte-Thérèse","Ville","Quebec","24","73","462","6.0","00000","2011","12145","100","3150","25.9","2085","17.2","1400","11.5","110","0.9","285","2.3","580","4.8","4535","37.3"
"2473010","Sainte-Thérèse","Ville","Quebec","24","73","462","6.0","00000","2016","12170","100","3095","25.4","1960","16.1","1430","11.8","120","1","235","1.9","580","4.8","4755","39.1"
"2473015","Blainville","Ville","Quebec","24","73","462","2.1","00000","2011","18730","100","4460","23.8","8015","42.8","2010","10.7","380","2","505","2.7","325","1.7","3040","16.2"
"2473015","Blainville","Ville","Quebec","24","73","462","2.1","00000","2016","20600","100","5025","24.4","8015","38.9","2245","10.9","445","2.2","575","2.8","400","1.9","3895","18.9"
"2473020","Rosemère","Ville","Quebec","24","73","462","2.4","00000","2011","5080","100","1370","27","2075","40.8","435","8.6","115","2.3","135","2.7","85","1.7","870","17.1"
"2473020","Rosemère","Ville","Quebec","24","73","462","2.4","00000","2016","5100","100","1470","28.8","1925","37.7","430","8.4","125","2.5","120","2.4","70","1.4","960","18.8"
"2473025","Lorraine","Ville","Quebec","24","73","462","1.4","00000","2011","3260","100","955","29.3","1440","44.2","345","10.6","60","1.8","60","1.8","30","0.9","365","11.2"
"2473025","Lorraine","Ville","Quebec","24","73","462","1.4","00000","2016","3325","100","1040","31.3","1365","41.1","345","10.4","55","1.7","70","2.1","35","1.1","420","12.6"
"2473030","Bois-des-Filion","Ville","Quebec","24","73","462","2.8","00000","2011","3885","100","930","23.9","1070","27.5","545","14","70","1.8","115","3","100","2.6","1040","26.8"
"2473030","Bois-des-Filion","Ville","Quebec","24","73","462","2.8","00000","2016","4020","100","905","22.5","1110","27.6","525","13.1","60","1.5","115","2.9","110","2.7","1195","29.7"
"2473035","Sainte-Anne-des-Plaines","Ville","Quebec","24","73","462","4.9","00000","2011","5015","100","1295","25.8","1850","36.9","520","10.4","105","2.1","170","3.4","120","2.4","965","19.2"
"2473035","Sainte-Anne-des-Plaines","Ville","Quebec","24","73","462","4.9","00000","2016","5260","100","1435","27.3","1715","32.6","550","10.5","110","2.1","175","3.3","150","2.9","1125","21.4"
"2474005","Mirabel","Ville","Quebec","24","74","462","2.0","00000","2011","15760","100","3840","24.4","5795","36.8","1630","10.3","255","1.6","415","2.6","385","2.4","3435","21.8"
"2474005","Mirabel","Ville","Quebec","24","74","462","2.0","00000","2016","19630","100","4900","25","6695","34.1","2125","10.8","325","1.7","485","2.5","470","2.4","4635","23.6"
"2475005","Saint-Colomban","Ville","Quebec","24","75","462","1.8","00000","2011","4945","100","1475","29.8","1760","35.6","385","7.8","90","1.8","150","3","130","2.6","965","19.5"
"2475005","Saint-Colomban","Ville","Quebec","24","75","462","1.8","00000","2016","5955","100","1665","28","2235","37.5","425","7.1","130","2.2","195","3.3","145","2.4","1165","19.6"
"2475017","Saint-Jérôme","Ville","Quebec","24","75","462","4.8","00000","2011","31110","100","8135","26.1","6380","20.5","3300","10.6","315","1","840","2.7","1130","3.6","11010","35.4"
"2475017","Saint-Jérôme","Ville","Quebec","24","75","462","4.8","00000","2016","33640","100","8690","25.8","6510","19.4","3600","10.7","390","1.2","850","2.5","1340","4","12255","36.4"
"2475028","Sainte-Sophie","Municipalité","Quebec","24","75","","2.6","00000","2011","5160","100","1550","30","1670","32.4","410","7.9","85","1.6","205","4","150","2.9","1090","21.1"
"2475028","Sainte-Sophie","Municipalité","Quebec","24","75","","2.6","00000","2016","6225","100","1825","29.3","1895","30.4","525","8.4","105","1.7","255","4.1","190","3.1","1440","23.1"
