"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"913","Penticton","CA","British Columbia","59"," ","5.8","00000","2011","19200","100","6250","32.6","3245","16.9","1500","7.8","365","1.9","675","3.5","795","4.1","6370","33.2"
"913","Penticton","CA","British Columbia","59"," ","5.8","00000","2016","19880","100","6615","33.3","3205","16.1","1465","7.4","345","1.7","770","3.9","810","4.1","6665","33.5"
"915","Kelowna","CMA","British Columbia","59"," ","4.6","00000","2001","59880","100","19035","31.8","15195","25.4","4805","8","965","1.6","2620","4.4","2570","4.3","14680","24.5"
"915","Kelowna","CMA","British Columbia","59"," ","4.6","00000","2006","67000","100","21570","32.2","15925","23.8","5425","8.1","1425","2.1","2685","4","2830","4.2","17130","25.6"
"915","Kelowna","CMA","British Columbia","59"," ","4.6","00000","2011","74945","100","23500","31.4","16780","22.4","5655","7.5","1565","2.1","3500","4.7","3940","5.3","19995","26.7"
"915","Kelowna","CMA","British Columbia","59"," ","4.6","00000","2016","81385","100","26025","32","17475","21.5","5970","7.3","1740","2.1","3950","4.9","4550","5.6","21680","26.6"
"918","Vernon","CA","British Columbia","59"," ","4.8","00000","2001","21320","100","6415","30.1","5200","24.4","2060","9.7","310","1.5","830","3.9","665","3.1","5835","27.4"
"918","Vernon","CA","British Columbia","59"," ","4.8","00000","2006","23045","100","7390","32.1","5455","23.7","1895","8.2","400","1.7","810","3.5","795","3.4","6305","27.4"
"918","Vernon","CA","British Columbia","59"," ","4.8","00000","2011","24425","100","7920","32.4","5280","21.6","1940","7.9","465","1.9","1115","4.6","980","4","6720","27.5"
"918","Vernon","CA","British Columbia","59"," ","4.8","00000","2016","26180","100","8735","33.4","5170","19.7","2070","7.9","520","2","1150","4.4","1060","4","7470","28.5"
"920","Salmon Arm","CA","British Columbia","59"," ","5.1","00000","2001","6305","100","1885","29.9","1645","26.1","625","9.9","95","1.5","205","3.3","160","2.5","1705","27"
"920","Salmon Arm","CA","British Columbia","59"," ","5.1","00000","2006","6605","100","2235","33.8","1590","24.1","555","8.4","85","1.3","275","4.2","165","2.5","1700","25.7"
"920","Salmon Arm","CA","British Columbia","59"," ","5.1","00000","2011","7410","100","2415","32.6","1635","22.1","610","8.2","125","1.7","290","3.9","220","3","2125","28.7"
"920","Salmon Arm","CA","British Columbia","59"," ","5.1","00000","2016","7535","100","2525","33.5","1545","20.5","555","7.4","155","2.1","305","4","230","3.1","2215","29.4"
"925","Kamloops","CA","British Columbia","59"," ","5.4","00000","2001","35545","100","9740","27.4","9870","27.8","3480","9.8","600","1.7","1500","4.2","1700","4.8","8670","24.4"
"925","Kamloops","CA","British Columbia","59"," ","5.4","00000","2006","38085","100","11230","29.5","9800","25.7","3375","8.9","740","1.9","1420","3.7","1730","4.5","9795","25.7"
