"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"965","Terrace","CA","British Columbia","59"," ","4.2","00000","2006","5975","100","1590","26.6","1685","28.2","545","9.1","180","3","220","3.7","215","3.6","1540","25.8"
"965","Terrace","CA","British Columbia","59"," ","4.2","00000","2011","6245","100","1580","25.3","1605","25.7","670","10.7","160","2.6","255","4.1","260","4.2","1710","27.4"
"965","Terrace","CA","British Columbia","59"," ","4.2","00000","2016","6365","100","1690","26.6","1520","23.9","590","9.3","165","2.6","315","4.9","310","4.9","1765","27.7"
"970","Prince George","CA","British Columbia","59"," ","4.1","00000","2001","32115","100","7415","23.1","10300","32.1","3365","10.5","685","2.1","1605","5","1580","4.9","7170","22.3"
"970","Prince George","CA","British Columbia","59"," ","4.1","00000","2006","32810","100","8530","26","9490","28.9","3130","9.5","840","2.6","1340","4.1","1425","4.3","8045","24.5"
"970","Prince George","CA","British Columbia","59"," ","4.1","00000","2011","33990","100","9015","26.5","8870","26.1","3310","9.7","745","2.2","1510","4.4","1690","5","8855","26.1"
"970","Prince George","CA","British Columbia","59"," ","4.1","00000","2016","35095","100","9495","27.1","8620","24.6","3260","9.3","810","2.3","1735","4.9","1790","5.1","9385","26.7"
"975","Dawson Creek","CA","British Columbia","59"," ","6.3","00100","2001","4405","100","1025","23.3","1165","26.4","485","11","80","1.8","140","3.2","170","3.9","1340","30.4"
"975","Dawson Creek","CA","British Columbia","59"," ","6.3","00100","2006","4655","100","1025","22","1155","24.8","490","10.5","105","2.3","165","3.5","190","4.1","1520","32.7"
"975","Dawson Creek","CA","British Columbia","59"," ","6.3","00100","2011","4860","100","1075","22.1","1155","23.8","490","10.1","85","1.7","190","3.9","265","5.5","1595","32.8"
"975","Dawson Creek","CA","British Columbia","59"," ","6.3","00100","2016","5035","100","1110","22","1170","23.2","520","10.3","95","1.9","205","4.1","305","6.1","1630","32.4"
"977","Fort St. John","CA","British Columbia","59"," ","4.6","00000","2001","8620","100","1935","22.4","2970","34.5","690","8","160","1.9","380","4.4","490","5.7","1990","23.1"
"977","Fort St. John","CA","British Columbia","59"," ","4.6","00000","2006","9710","100","2475","25.5","3075","31.7","760","7.8","130","1.3","435","4.5","585","6","2250","23.2"
"977","Fort St. John","CA","British Columbia","59"," ","4.6","00000","2011","10355","100","2560","24.7","3165","30.6","705","6.8","155","1.5","525","5.1","660","6.4","2585","25"
"977","Fort St. John","CA","British Columbia","59"," ","4.6","00000","2016","10965","100","2770","25.3","3280","29.9","830","7.6","170","1.6","555","5.1","715","6.5","2645","24.1"
"990","Whitehorse","CA","Yukon","60"," ","5.2","00100","2001","8400","100","1840","21.9","2495","29.7","950","11.3","125","1.5","395","4.7","325","3.9","2270","27"
"990","Whitehorse","CA","Yukon","60"," ","5.2","00100","2006","9330","100","2055","22","2550","27.3","1040","11.1","175","1.9","395","4.2","420","4.5","2685","28.8"
"990","Whitehorse","CA","Yukon","60"," ","5.2","00100","2011","10525","100","2435","23.1","2605","24.8","1105","10.5","220","2.1","585","5.6","570","5.4","3005","28.6"
"990","Whitehorse","CA","Yukon","60"," ","5.2","00100","2016","11625","100","2810","24.2","2815","24.2","1125","9.7","220","1.9","585","5","610","5.2","3465","29.8"
"995","Yellowknife","CA","Northwest Territories","61"," ","6.4","00100","2001","5795","100","1185","20.4","2135","36.8","525","9.1","140","2.4","355","6.1","305","5.3","1150","19.8"
"995","Yellowknife","CA","Northwest Territories","61"," ","6.4","00100","2006","6630","100","1380","20.8","2330","35.1","590","8.9","170","2.6","440","6.6","415","6.3","1300","19.6"
"995","Yellowknife","CA","Northwest Territories","61"," ","6.4","00100","2011","6935","100","1440","20.8","2190","31.6","640","9.2","160","2.3","540","7.8","455","6.6","1515","21.8"
"995","Yellowknife","CA","Northwest Territories","61"," ","6.4","00100","2016","7130","100","1480","20.8","2280","32","620","8.7","180","2.5","500","7","475","6.7","1590","22.3"

