"Geographic code","Geographic name","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"60","Yukon","6.7","00100","2016","15215","100","3725","24.5","3440","22.6","1470","9.7","280","1.8","675","4.4","720","4.7","4900","32.2"
"60","Yukon","6.7","00100","2011","14120","100","3345","23.7","3260","23.1","1480","10.5","280","2","715","5.1","715","5.1","4330","30.7"
"60","Yukon","6.7","00100","2006","12615","100","2840","22.5","3220","25.5","1375","10.9","225","1.8","510","4","540","4.3","3895","30.9"
"60","Yukon","6.7","00100","2001","11365","100","2480","21.8","3240","28.5","1240","10.9","175","1.5","530","4.7","435","3.8","3265","28.7"
"61","Northwest Territories","7.5","00100","2016","14980","100","2825","18.9","4500","30","1590","10.6","635","4.2","940","6.3","840","5.6","3640","24.3"
"61","Northwest Territories","7.5","00100","2011","14700","100","2795","19","4535","30.9","1600","10.9","555","3.8","955","6.5","780","5.3","3475","23.6"
"61","Northwest Territories","7.5","00100","2006","14235","100","2635","18.5","4720","33.2","1595","11.2","590","4.1","875","6.1","745","5.2","3080","21.6"
"61","Northwest Territories","7.5","00100","2001","12565","100","2205","17.5","4440","35.3","1350","10.7","505","4","745","5.9","535","4.3","2785","22.2"
"62","Nunavut","7.9","00100","2016","9820","100","960","9.8","3355","34.2","1205","12.3","1195","12.2","780","7.9","465","4.7","1855","18.9"
"62","Nunavut","7.9","00100","2011","8665","100","860","9.9","3185","36.8","1035","11.9","955","11","720","8.3","330","3.8","1575","18.2"
"62","Nunavut","7.9","00100","2006","7855","100","740","9.4","3005","38.3","930","11.8","800","10.2","650","8.3","290","3.7","1440","18.3"
"62","Nunavut","7.9","00100","2001","7170","100","660","9.2","3035","42.3","885","12.3","615","8.6","500","7","235","3.3","1250","17.4"

