"Geographic code","Geographic name","Global non-response rate","Data quality flag","Year","Sex","Presence and age of children","Total population aged 15 or more (Counts)","Total population aged 15 or more (% Distribution)","Total population aged 15 or more (% Change)","Persons not in a couple (Counts)","Persons not in a couple (% Distribution)","Persons not in a couple (% Change)","Persons in a couple - Total persons in a couple (Counts)","Persons in a couple - Total persons in a couple (% Distribution)","Persons in a couple - Total persons in a couple (% Change)","Persons in a couple - Married spouses - Total (Counts)","Persons in a couple - Married spouses - Total (% Distribution)","Persons in a couple - Married spouses - Total (% Change)","Persons in a couple - Married spouses - Opposite-sex (Counts)","Persons in a couple - Married spouses - Opposite-sex (% Distribution)","Persons in a couple - Married spouses - Opposite-sex (% Change)","Persons in a couple - Married spouses - Same-sex (Counts)","Persons in a couple - Married spouses - Same-sex (% Distribution)","Persons in a couple - Married spouses - Same-sex (% Change)","Persons in a couple - Common-law partners - Total (Counts)","Persons in a couple - Common-law partners - Total (% Distribution)","Persons in a couple - Common-law partners - Total (% Change)","Persons in a couple - Common-law partners - Opposite-sex (Counts)","Persons in a couple - Common-law partners - Opposite-sex (% Distribution)","Persons in a couple - Common-law partners - Opposite-sex (% Change)","Persons in a couple - Common-law partners - Same-sex (Counts)","Persons in a couple - Common-law partners - Same-sex (% Distribution)","Persons in a couple - Common-law partners - Same-sex (% Change)"
"01","Canada","4.0","20000","2016","Both sexes","Total, presence and age of children","28642980","100","12.3","12187135","42.5","15.6","16455840","57.5","10","12948005","45.2","6","12899265","45","5.8","48740","0.2","226.6","3507840","12.2","27.4","3410820","11.9","27.4","97020","0.3","28"
"01","Canada","4.0","20000","2016","Both sexes","Without children","18622945","100","16.6","10574330","56.8","15.8","8048615","43.2","17.6","6092425","32.7","14.4","6052385","32.5","13.9","40040","0.2","225.5","1956190","10.5","28.9","1868005","10","29","88185","0.5","26.4"
"01","Canada","4.0","20000","2016","Both sexes","With children","10020035","100","5.1","1612805","16.1","14.1","8407230","83.9","3.5","6855580","68.4","-0.5","6846880","68.3","-0.6","8700","0.1","231.4","1551650","15.5","25.5","1542815","15.4","25.4","8835","0.1","47.9"
"01","Canada","4.0","20000","2016","Both sexes","With at least one child aged 0 to 14","5968850","100","1.8","736970","12.3","6.5","5231880","87.7","1.2","4052380","67.9","-3","4045765","67.8","-3.1","6615","0.1","261.5","1179500","19.8","18.5","1173140","19.7","18.3","6365","0.1","50.1"
"01","Canada","4.0","20000","2016","Both sexes","With children 15 years and over only","4051190","100","10.2","875840","21.6","21.3","3175350","78.4","7.5","2803200","69.2","3.4","2801115","69.1","3.3","2085","0.1","160.6","372150","9.2","54.7","369680","9.1","54.8","2470","0.1","42"
"01","Canada","4.0","20000","2016","Male","Total, presence and age of children","13990620","100","12.9","5759985","41.2","17.4","8230640","58.8","9.9","6473215","46.3","6","6449630","46.1","5.8","23580","0.2","194","1757430","12.6","27.3","1705410","12.2","27.4","52020","0.4","25.5"
"01","Canada","4.0","20000","2016","Male","Without children","9441895","100","17.2","5409515","57.3","16.9","4032375","42.7","17.6","3047785","32.3","14.4","3026190","32.1","13.9","21590","0.2","201.7","984595","10.4","28.8","934005","9.9","29","50590","0.5","24.4"
"01","Canada","4.0","20000","2016","Male","With children","4548735","100","4.8","350465","7.7","24.4","4198265","92.3","3.4","3425430","75.3","-0.5","3423440","75.3","-0.6","1990","0","130.1","772835","17","25.5","771405","17","25.4","1430","0","78.8"
"01","Canada","4.0","20000","2016","Male","With at least one child aged 0 to 14","2757125","100","2","145400","5.3","20.4","2611720","94.7","1.1","2024230","73.4","-3","2022880","73.4","-3.1","1355","0","208","587485","21.3","18.4","586565","21.3","18.3","920","0","121.7"
"01","Canada","4.0","20000","2016","Male","With children 15 years and over only","1791610","100","9.5","205065","11.4","27.3","1586545","88.6","7.5","1401200","78.2","3.3","1400560","78.2","3.3","635","0","49.4","185345","10.3","54.7","184835","10.3","54.8","510","0","32.5"
"01","Canada","4.0","20000","2016","Female","Total, presence and age of children","14652355","100","11.7","6427155","43.9","14","8225205","56.1","10","6474795","44.2","6.1","6449630","44","5.8","25160","0.2","264.4","1750410","11.9","27.5","1705410","11.6","27.4","45000","0.3","31.2"
"01","Canada","4.0","20000","2016","Female","Without children","9181050","100","15.9","5164815","56.3","14.6","4016235","43.7","17.6","3044645","33.2","14.4","3026190","33","13.9","18450","0.2","258.6","971595","10.6","29","934005","10.2","29","37590","0.4","29"
"01","Canada","4.0","20000","2016","Female","With children","5471305","100","5.3","1262335","23.1","11.5","4208965","76.9","3.6","3430150","62.7","-0.4","3423440","62.6","-0.6","6710","0.1","280.2","778815","14.2","25.5","771405","14.1","25.4","7405","0.1","43.1"
"01","Canada","4.0","20000","2016","Female","With at least one child aged 0 to 14","3211725","100","1.7","591570","18.4","3.6","2620160","81.6","1.3","2028145","63.1","-2.9","2022880","63","-3.1","5260","0.2","277.1","592015","18.4","18.5","586565","18.3","18.3","5445","0.2","42.4"
"01","Canada","4.0","20000","2016","Female","With children 15 years and over only","2259580","100","10.9","670770","29.7","19.5","1588805","70.3","7.6","1402005","62","3.4","1400560","62","3.3","1445","0.1","290.5","186800","8.3","54.6","184835","8.2","54.8","1960","0.1","44.6"
"01","Canada","4.0","20000","2011","Both sexes","Total, presence and age of children","27269815","100","","11546100","42.3","","15723715","57.7","","12587900","46.2","","12545870","46","","42035","0.2","","3135815","11.5","","3048695","11.2","","87120","0.3",""
"01","Canada","4.0","20000","2011","Both sexes","Without children","17523385","100","","10018260","57.2","","7505125","42.8","","5782425","33","","5745795","32.8","","36635","0.2","","1722700","9.8","","1643005","9.4","","79695","0.5",""
"01","Canada","4.0","20000","2011","Both sexes","With children","9746425","100","","1527845","15.7","","8218585","84.3","","6805470","69.8","","6800070","69.8","","5400","0.1","","1413115","14.5","","1405690","14.4","","7420","0.1",""
"01","Canada","4.0","20000","2011","Both sexes","With at least one child aged 0 to 14","5813405","100","","714480","12.3","","5098925","87.7","","4011690","69","","4007745","68.9","","3940","0.1","","1087235","18.7","","1082250","18.6","","4985","0.1",""
"01","Canada","4.0","20000","2011","Both sexes","With children 15 years and over only","3933020","100","","813365","20.7","","3119660","79.3","","2793780","71","","2792325","71","","1460","0","","325880","8.3","","323440","8.2","","2440","0.1",""
"01","Canada","4.0","20000","2011","Male","Total, presence and age of children","13293345","100","","5425675","40.8","","7867675","59.2","","6296010","47.4","","6272935","47.2","","23080","0.2","","1571660","11.8","","1524350","11.5","","47315","0.4",""
"01","Canada","4.0","20000","2011","Male","Without children","8860240","100","","5098130","57.5","","3762115","42.5","","2894615","32.7","","2872900","32.4","","21715","0.2","","867495","9.8","","821505","9.3","","45995","0.5",""
"01","Canada","4.0","20000","2011","Male","With children","4433105","100","","327545","7.4","","4105560","92.6","","3401395","76.7","","3400035","76.7","","1360","0","","704160","15.9","","702845","15.9","","1320","0",""
"01","Canada","4.0","20000","2011","Male","With at least one child aged 0 to 14","2681165","100","","134585","5","","2546585","95","","2004745","74.8","","2003870","74.7","","870","0","","541840","20.2","","541125","20.2","","710","0",""
"01","Canada","4.0","20000","2011","Male","With children 15 years and over only","1751940","100","","192965","11","","1558975","89","","1396655","79.7","","1396160","79.7","","495","0","","162325","9.3","","161715","9.2","","605","0",""
"01","Canada","4.0","20000","2011","Female","Total, presence and age of children","13976470","100","","6120425","43.8","","7856040","56.2","","6291885","45","","6272935","44.9","","18955","0.1","","1564155","11.2","","1524350","10.9","","39810","0.3",""
"01","Canada","4.0","20000","2011","Female","Without children","8663145","100","","4920130","56.8","","3743015","43.2","","2887815","33.3","","2872900","33.2","","14915","0.2","","855205","9.9","","821500","9.5","","33700","0.4",""
"01","Canada","4.0","20000","2011","Female","With children","5313320","100","","1200295","22.6","","4113030","77.4","","3404075","64.1","","3400035","64","","4040","0.1","","708950","13.3","","702845","13.2","","6105","0.1",""
"01","Canada","4.0","20000","2011","Female","With at least one child aged 0 to 14","3132240","100","","579895","18.5","","2552340","81.5","","2006945","64.1","","2003870","64","","3075","0.1","","545395","17.4","","541125","17.3","","4270","0.1",""
"01","Canada","4.0","20000","2011","Female","With children 15 years and over only","2181080","100","","620395","28.4","","1560685","71.6","","1397130","64.1","","1396160","64","","965","0","","163555","7.5","","161715","7.4","","1840","0.1",""
"01","Canada","4.0","20000","2006","Both sexes","Total, presence and age of children","25511875","100","","10546315","41.3","","14965555","58.7","","12211820","47.9","","12196895","47.8","","14925","0.1","","2753740","10.8","","2677970","10.5","","75770","0.3",""
"01","Canada","4.0","20000","2006","Both sexes","Without children","15973950","100","","9132250","57.2","","6841700","42.8","","5324265","33.3","","5311970","33.3","","12300","0.1","","1517435","9.5","","1447640","9.1","","69790","0.4",""
"01","Canada","4.0","20000","2006","Both sexes","With children","9537920","100","","1414065","14.8","","8123860","85.2","","6887550","72.2","","6884930","72.2","","2625","0","","1236305","13","","1230330","12.9","","5975","0.1",""
"01","Canada","4.0","20000","2006","Both sexes","With at least one child aged 0 to 14","5863025","100","","691765","11.8","","5171265","88.2","","4175580","71.2","","4173750","71.2","","1830","0","","995685","17","","991450","16.9","","4240","0.1",""
"01","Canada","4.0","20000","2006","Both sexes","With children 15 years and over only","3674900","100","","722305","19.7","","2952600","80.3","","2711975","73.8","","2711180","73.8","","800","0","","240620","6.5","","238880","6.5","","1740","0",""
"01","Canada","4.0","20000","2006","Male","Total, presence and age of children","12395130","100","","4908225","39.6","","7486910","60.4","","6106470","49.3","","6098445","49.2","","8020","0.1","","1380440","11.1","","1338985","10.8","","41460","0.3",""
"01","Canada","4.0","20000","2006","Male","Without children","8054065","100","","4626450","57.4","","3427615","42.6","","2663140","33.1","","2655980","33","","7155","0.1","","764480","9.5","","723820","9","","40660","0.5",""
"01","Canada","4.0","20000","2006","Male","With children","4341070","100","","281775","6.5","","4059295","93.5","","3443330","79.3","","3442465","79.3","","865","0","","615970","14.2","","615165","14.2","","800","0",""
"01","Canada","4.0","20000","2006","Male","With at least one child aged 0 to 14","2704200","100","","120745","4.5","","2583455","95.5","","2087315","77.2","","2086875","77.2","","440","0","","496140","18.3","","495725","18.3","","415","0",""
"01","Canada","4.0","20000","2006","Male","With children 15 years and over only","1636875","100","","161025","9.8","","1475845","90.2","","1356015","82.8","","1355590","82.8","","425","0","","119830","7.3","","119440","7.3","","385","0",""
"01","Canada","4.0","20000","2006","Female","Total, presence and age of children","13116745","100","","5638090","43","","7478650","57","","6105355","46.5","","6098450","46.5","","6905","0.1","","1373295","10.5","","1338980","10.2","","34310","0.3",""
"01","Canada","4.0","20000","2006","Female","Without children","7919885","100","","4505800","56.9","","3414085","43.1","","2661130","33.6","","2655985","33.5","","5145","0.1","","752955","9.5","","723820","9.1","","29135","0.4",""
"01","Canada","4.0","20000","2006","Female","With children","5196855","100","","1132285","21.8","","4064565","78.2","","3444225","66.3","","3442465","66.2","","1765","0","","620340","11.9","","615165","11.8","","5175","0.1",""
"01","Canada","4.0","20000","2006","Female","With at least one child aged 0 to 14","3158825","100","","571015","18.1","","2587810","81.9","","2088265","66.1","","2086875","66.1","","1395","0","","499550","15.8","","495720","15.7","","3825","0.1",""
"01","Canada","4.0","20000","2006","Female","With children 15 years and over only","2038030","100","","561275","27.5","","1476750","72.5","","1355960","66.5","","1355590","66.5","","370","0","","120795","5.9","","119440","5.9","","1355","0.1",""
"01","Canada","4.0","20000","2001","Both sexes","Total, presence and age of children","23799055","100","","9679390","40.7","","14119665","59.3","","11802855","49.6","","11802855","49.6","","","","","2316810","9.7","","2248410","9.4","","68405","0.3",""
"01","Canada","4.0","20000","2001","Both sexes","Without children","14486655","100","","8368200","57.8","","6118450","42.2","","4863445","33.6","","4863445","33.6","","","","","1255010","8.7","","1192490","8.2","","62520","0.4",""
"01","Canada","4.0","20000","2001","Both sexes","With children","9312400","100","","1311190","14.1","","8001215","85.9","","6939405","74.5","","6939405","74.5","","","","","1061805","11.4","","1055925","11.3","","5885","0.1",""
"01","Canada","4.0","20000","2001","Both sexes","With at least one child aged 0 to 14","5929605","100","","681575","11.5","","5248030","88.5","","4359625","73.5","","4359625","73.5","","","","","888405","15","","884365","14.9","","4045","0.1",""
"01","Canada","4.0","20000","2001","Both sexes","With children 15 years and over only","3382795","100","","629615","18.6","","2753180","81.4","","2579780","76.3","","2579775","76.3","","","","","173400","5.1","","171560","5.1","","1845","0.1",""
"01","Canada","4.0","20000","2001","Male","Total, presence and age of children","11568150","100","","4504525","38.9","","7063620","61.1","","5901425","51","","5901425","51","","","","","1162195","10","","1124205","9.7","","37990","0.3",""
"01","Canada","4.0","20000","2001","Male","Without children","7323405","100","","4258700","58.2","","3064700","41.8","","2431720","33.2","","2431725","33.2","","","","","632975","8.6","","596245","8.1","","36735","0.5",""
"01","Canada","4.0","20000","2001","Male","With children","4244745","100","","245820","5.8","","3998920","94.2","","3469705","81.7","","3469705","81.7","","","","","529215","12.5","","527965","12.4","","1255","0",""
"01","Canada","4.0","20000","2001","Male","With at least one child aged 0 to 14","2732955","100","","110290","4","","2622670","96","","2179815","79.8","","2179815","79.8","","","","","442855","16.2","","442180","16.2","","675","0",""
"01","Canada","4.0","20000","2001","Male","With children 15 years and over only","1511785","100","","135540","9","","1376250","91","","1289890","85.3","","1289890","85.3","","","","","86360","5.7","","85780","5.7","","580","0",""
"01","Canada","4.0","20000","2001","Female","Total, presence and age of children","12230910","100","","5174860","42.3","","7056045","57.7","","5901425","48.3","","5901425","48.3","","","","","1154620","9.4","","1124205","9.2","","30415","0.2",""
"01","Canada","4.0","20000","2001","Female","Without children","7163250","100","","4109500","57.4","","3053750","42.6","","2431720","33.9","","2431725","33.9","","","","","622025","8.7","","596245","8.3","","25785","0.4",""
"01","Canada","4.0","20000","2001","Female","With children","5067660","100","","1065365","21","","4002290","79","","3469700","68.5","","3469705","68.5","","","","","532590","10.5","","527960","10.4","","4630","0.1",""
"01","Canada","4.0","20000","2001","Female","With at least one child aged 0 to 14","3196645","100","","571285","17.9","","2625365","82.1","","2179815","68.2","","2179815","68.2","","","","","445550","13.9","","442180","13.8","","3370","0.1",""
"01","Canada","4.0","20000","2001","Female","With children 15 years and over only","1871010","100","","494080","26.4","","1376930","73.6","","1289890","68.9","","1289890","68.9","","","","","87040","4.7","","85780","4.6","","1260","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2016","Both sexes","Total, presence and age of children","437940","100","4","164420","37.5","4.2","273515","62.5","3.9","227040","51.8","-1","226585","51.7","-1.1","455","0.1","355","46475","10.6","37.2","45560","10.4","36.6","915","0.2","79.4"
"10","Newfoundland and Labrador","4.0","00000","2016","Both sexes","Without children","292330","100","13.5","140175","48","4.9","152160","52.1","22.8","125525","42.9","18","125175","42.8","17.8","350","0.1","438.5","26635","9.1","51.6","25815","8.8","51","815","0.3","69.8"
"10","Newfoundland and Labrador","4.0","00000","2016","Both sexes","With children","145605","100","-10.9","24250","16.7","0.4","121355","83.3","-12.8","101515","69.7","-17.4","101410","69.6","-17.5","105","0.1","200","19840","13.6","21.8","19740","13.6","21.4","100","0.1","233.3"
"10","Newfoundland and Labrador","4.0","00000","2016","Both sexes","With at least one child aged 0 to 14","81035","100","-9.7","11865","14.6","0.6","69170","85.4","-11.2","54185","66.9","-17.1","54110","66.8","-17.2","75","0.1","","14985","18.5","19.5","14925","18.4","19.3","70","0.1","250"
"10","Newfoundland and Labrador","4.0","00000","2016","Both sexes","With children 15 years and over only","64570","100","-12.4","12380","19.2","0.2","52185","80.8","-14.9","47330","73.3","-17.8","47300","73.3","-17.8","35","0.1","-12.5","4850","7.5","28.8","4820","7.5","28.5","35","0.1","250"
"10","Newfoundland and Labrador","4.0","00000","2016","Male","Total, presence and age of children","212785","100","4.7","76135","35.8","6.2","136650","64.2","3.9","113475","53.3","-1","113290","53.2","-1.1","180","0.1","157.1","23175","10.9","37.3","22780","10.7","36.6","395","0.2","97.5"
"10","Newfoundland and Labrador","4.0","00000","2016","Male","Without children","147220","100","14","71180","48.3","5.9","76040","51.7","22.8","62750","42.6","18","62590","42.5","17.8","160","0.1","433.3","13285","9","51.8","12910","8.8","51.1","375","0.3","82.9"
"10","Newfoundland and Labrador","4.0","00000","2016","Male","With children","65570","100","-11.4","4955","7.6","12.2","60610","92.4","-12.9","50720","77.4","-17.5","50700","77.3","-17.5","20","0","-42.9","9885","15.1","21.6","9870","15.1","21.4","15","0",""
"10","Newfoundland and Labrador","4.0","00000","2016","Male","With at least one child aged 0 to 14","36575","100","-9.8","2035","5.6","26.4","34535","94.4","-11.3","27065","74","-17.2","27055","74","-17.2","10","0","","7465","20.4","19.3","7465","20.4","19.3","5","0",""
"10","Newfoundland and Labrador","4.0","00000","2016","Male","With children 15 years and over only","29000","100","-13.4","2915","10.1","3.9","26080","89.9","-15","23660","81.6","-17.8","23645","81.5","-17.8","10","0","-71.4","2420","8.3","29.4","2410","8.3","28.5","10","0",""
"10","Newfoundland and Labrador","4.0","00000","2016","Female","Total, presence and age of children","225150","100","3.4","88285","39.2","2.5","136865","60.8","4","113565","50.4","-0.9","113290","50.3","-1.1","275","0.1","816.7","23300","10.3","37.1","22780","10.1","36.6","520","0.2","67.7"
"10","Newfoundland and Labrador","4.0","00000","2016","Female","Without children","145115","100","13.1","68995","47.5","4","76125","52.5","22.8","62775","43.3","18.1","62590","43.1","17.8","185","0.1","516.7","13345","9.2","51.2","12905","8.9","50.9","435","0.3","55.4"
"10","Newfoundland and Labrador","4.0","00000","2016","Female","With children","80035","100","-10.4","19290","24.1","-2.3","60740","75.9","-12.7","50790","63.5","-17.3","50705","63.4","-17.5","85","0.1","","9950","12.4","21.9","9870","12.3","21.3","80","0.1","128.6"
"10","Newfoundland and Labrador","4.0","00000","2016","Female","With at least one child aged 0 to 14","44465","100","-9.5","9830","22.1","-3.5","34635","77.9","-11.1","27115","61","-17.1","27055","60.8","-17.2","60","0.1","","7515","16.9","19.8","7460","16.8","19.3","60","0.1","200"
"10","Newfoundland and Labrador","4.0","00000","2016","Female","With children 15 years and over only","35570","100","-11.5","9465","26.6","-1","26105","73.4","-14.8","23670","66.5","-17.7","23645","66.5","-17.8","20","0.1","","2430","6.8","28.9","2410","6.8","28.5","25","0.1","150"
"10","Newfoundland and Labrador","4.0","00000","2011","Both sexes","Total, presence and age of children","430735","100","","160805","37.3","","269930","62.7","","228670","53.1","","228350","53","","320","0.1","","41260","9.6","","40540","9.4","","720","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2011","Both sexes","Without children","277365","100","","136380","49.2","","140980","50.8","","118310","42.7","","118040","42.6","","270","0.1","","22670","8.2","","22045","7.9","","630","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2011","Both sexes","With children","153365","100","","24420","15.9","","128945","84.1","","110360","72","","110310","71.9","","50","0","","18585","12.1","","18500","12.1","","90","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2011","Both sexes","With at least one child aged 0 to 14","84830","100","","12230","14.4","","72595","85.6","","58345","68.8","","58310","68.7","","35","0","","14245","16.8","","14195","16.7","","55","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2011","Both sexes","With children 15 years and over only","68540","100","","12185","17.8","","56350","82.2","","52020","75.9","","52000","75.9","","15","0","","4335","6.3","","4305","6.3","","35","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2011","Male","Total, presence and age of children","208515","100","","73610","35.3","","134905","64.7","","114330","54.8","","114175","54.8","","150","0.1","","20585","9.9","","20270","9.7","","310","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2011","Male","Without children","139380","100","","68915","49.4","","70470","50.6","","59150","42.4","","59020","42.3","","130","0.1","","11315","8.1","","11020","7.9","","295","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2011","Male","With children","69135","100","","4695","6.8","","64435","93.2","","55175","79.8","","55155","79.8","","15","0","","9265","13.4","","9245","13.4","","20","0",""
"10","Newfoundland and Labrador","4.0","00000","2011","Male","With at least one child aged 0 to 14","38160","100","","1885","4.9","","36270","95","","29165","76.4","","29155","76.4","","10","0","","7105","18.6","","7095","18.6","","10","0",""
"10","Newfoundland and Labrador","4.0","00000","2011","Male","With children 15 years and over only","30980","100","","2810","9.1","","28170","90.9","","26010","84","","26000","83.9","","10","0","","2160","7","","2150","6.9","","10","0",""
"10","Newfoundland and Labrador","4.0","00000","2011","Female","Total, presence and age of children","222210","100","","87190","39.2","","135020","60.8","","114345","51.5","","114175","51.4","","170","0.1","","20675","9.3","","20270","9.1","","405","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2011","Female","Without children","137985","100","","67470","48.9","","70515","51.1","","59160","42.9","","59020","42.8","","135","0.1","","11355","8.2","","11025","8","","330","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2011","Female","With children","84235","100","","19720","23.4","","64510","76.6","","55190","65.5","","55155","65.5","","35","0","","9320","11.1","","9245","11","","70","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2011","Female","With at least one child aged 0 to 14","46670","100","","10345","22.2","","36325","77.8","","29180","62.5","","29155","62.5","","25","0.1","","7145","15.3","","7095","15.2","","45","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2011","Female","With children 15 years and over only","37560","100","","9380","25","","28185","75","","26010","69.2","","26000","69.2","","10","0","","2175","5.8","","2150","5.7","","25","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2006","Both sexes","Total, presence and age of children","420895","100","","157755","37.5","","263135","62.5","","229265","54.5","","229165","54.4","","100","0","","33870","8","","33355","7.9","","510","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2006","Both sexes","Without children","257500","100","","133590","51.9","","123905","48.1","","106335","41.3","","106265","41.3","","65","0","","17570","6.8","","17095","6.6","","480","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2006","Both sexes","With children","163390","100","","24165","14.8","","139230","85.2","","122940","75.2","","122895","75.2","","35","0","","16295","10","","16260","10","","30","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Both sexes","With at least one child aged 0 to 14","89710","100","","11800","13.2","","77905","86.8","","65380","72.9","","65375","72.9","","0","0","","12535","14","","12510","13.9","","20","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Both sexes","With children 15 years and over only","73685","100","","12360","16.8","","61320","83.2","","57560","78.1","","57525","78.1","","40","0.1","","3765","5.1","","3750","5.1","","10","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Male","Total, presence and age of children","203190","100","","71660","35.3","","131535","64.7","","114655","56.4","","114580","56.4","","70","0","","16880","8.3","","16680","8.2","","200","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2006","Male","Without children","129155","100","","67240","52.1","","61915","47.9","","53170","41.2","","53130","41.1","","30","0","","8750","6.8","","8545","6.6","","205","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2006","Male","With children","74035","100","","4415","6","","69620","94","","61485","83","","61450","83","","35","0","","8130","11","","8130","11","","0","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Male","With at least one child aged 0 to 14","40555","100","","1610","4","","38945","96","","32685","80.6","","32690","80.6","","0","0","","6255","15.4","","6255","15.4","","0","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Male","With children 15 years and over only","33480","100","","2805","8.4","","30675","91.6","","28800","86","","28765","85.9","","35","0.1","","1870","5.6","","1875","5.6","","0","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Female","Total, presence and age of children","217700","100","","86095","39.5","","131600","60.5","","114615","52.6","","114580","52.6","","30","0","","16990","7.8","","16675","7.7","","310","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2006","Female","Without children","128345","100","","66350","51.7","","61990","48.3","","53165","41.4","","53135","41.4","","30","0","","8825","6.9","","8550","6.7","","280","0.2",""
"10","Newfoundland and Labrador","4.0","00000","2006","Female","With children","89355","100","","19745","22.1","","69615","77.9","","61450","68.8","","61450","68.8","","0","0","","8165","9.1","","8135","9.1","","35","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Female","With at least one child aged 0 to 14","49150","100","","10190","20.7","","38960","79.3","","32690","66.5","","32690","66.5","","0","0","","6275","12.8","","6255","12.7","","20","0",""
"10","Newfoundland and Labrador","4.0","00000","2006","Female","With children 15 years and over only","40200","100","","9560","23.8","","30650","76.2","","28760","71.5","","28760","71.5","","0","0","","1885","4.7","","1875","4.7","","10","0",""
"10","Newfoundland and Labrador","4.0","00000","2001","Both sexes","Total, presence and age of children","418240","100","","155580","37.2","","262665","62.8","","232870","55.7","","232875","55.7","","","","","29795","7.1","","29435","7","","365","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Both sexes","Without children","240160","100","","132525","55.2","","107635","44.8","","92310","38.4","","92305","38.4","","","","","15330","6.4","","15030","6.3","","300","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Both sexes","With children","178080","100","","23050","12.9","","155030","87.1","","140565","78.9","","140565","78.9","","","","","14465","8.1","","14400","8.1","","65","0",""
"10","Newfoundland and Labrador","4.0","00000","2001","Both sexes","With at least one child aged 0 to 14","101680","100","","11755","11.6","","89930","88.4","","78200","76.9","","78200","76.9","","","","","11725","11.5","","11690","11.5","","40","0",""
"10","Newfoundland and Labrador","4.0","00000","2001","Both sexes","With children 15 years and over only","76400","100","","11295","14.8","","65105","85.2","","62365","81.6","","62365","81.6","","","","","2735","3.6","","2710","3.5","","25","0",""
"10","Newfoundland and Labrador","4.0","00000","2001","Male","Total, presence and age of children","203050","100","","71725","35.3","","131330","64.7","","116440","57.3","","116440","57.3","","","","","14895","7.3","","14715","7.2","","180","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Male","Without children","121430","100","","67605","55.7","","53820","44.3","","46155","38","","46155","38","","","","","7670","6.3","","7515","6.2","","155","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Male","With children","81625","100","","4120","5","","77505","95","","70285","86.1","","70280","86.1","","","","","7225","8.9","","7200","8.8","","25","0",""
"10","Newfoundland and Labrador","4.0","00000","2001","Male","With at least one child aged 0 to 14","46625","100","","1680","3.6","","44945","96.4","","39105","83.9","","39100","83.9","","","","","5845","12.5","","5845","12.5","","0","0",""
"10","Newfoundland and Labrador","4.0","00000","2001","Male","With children 15 years and over only","34995","100","","2435","7","","32560","93","","31185","89.1","","31185","89.1","","","","","1380","3.9","","1355","3.9","","25","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Female","Total, presence and age of children","215185","100","","83850","39","","131335","61","","116435","54.1","","116440","54.1","","","","","14900","6.9","","14715","6.8","","185","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Female","Without children","118730","100","","64920","54.7","","53810","45.3","","46150","38.9","","46155","38.9","","","","","7665","6.5","","7515","6.3","","145","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Female","With children","96455","100","","18935","19.6","","77525","80.4","","70280","72.9","","70285","72.9","","","","","7240","7.5","","7200","7.5","","40","0",""
"10","Newfoundland and Labrador","4.0","00000","2001","Female","With at least one child aged 0 to 14","55050","100","","10070","18.3","","44985","81.7","","39105","71","","39100","71","","","","","5880","10.7","","5845","10.6","","35","0.1",""
"10","Newfoundland and Labrador","4.0","00000","2001","Female","With children 15 years and over only","41405","100","","8865","21.4","","32540","78.6","","31185","75.3","","31180","75.3","","","","","1360","3.3","","1355","3.3","","10","0",""
"11","Prince Edward Island","4.1","00000","2016","Both sexes","Total, presence and age of children","117050","100","7","46735","39.9","6.7","70320","60.1","7.3","59565","50.9","3.8","59395","50.7","3.5","175","0.1","400","10755","9.2","31.6","10470","8.9","32.2","280","0.2","12"
"11","Prince Edward Island","4.1","00000","2016","Both sexes","Without children","78145","100","14.9","40190","51.4","7.5","37955","48.6","23.9","31630","40.5","22.3","31480","40.3","21.8","150","0.2","500","6325","8.1","32.9","6055","7.7","33.1","265","0.3","26.2"
