"Geographic code","Geographic name","Global non-response rate","Data quality flag","Year","Sex","Presence and age of children","Total population aged 15 or more (Counts)","Total population aged 15 or more (% Distribution)","Total population aged 15 or more (% Change)","Persons not in a couple (Counts)","Persons not in a couple (% Distribution)","Persons not in a couple (% Change)","Persons in a couple - Total persons in a couple (Counts)","Persons in a couple - Total persons in a couple (% Distribution)","Persons in a couple - Total persons in a couple (% Change)","Persons in a couple - Married spouses - Total (Counts)","Persons in a couple - Married spouses - Total (% Distribution)","Persons in a couple - Married spouses - Total (% Change)","Persons in a couple - Married spouses - Opposite-sex (Counts)","Persons in a couple - Married spouses - Opposite-sex (% Distribution)","Persons in a couple - Married spouses - Opposite-sex (% Change)","Persons in a couple - Married spouses - Same-sex (Counts)","Persons in a couple - Married spouses - Same-sex (% Distribution)","Persons in a couple - Married spouses - Same-sex (% Change)","Persons in a couple - Common-law partners - Total (Counts)","Persons in a couple - Common-law partners - Total (% Distribution)","Persons in a couple - Common-law partners - Total (% Change)","Persons in a couple - Common-law partners - Opposite-sex (Counts)","Persons in a couple - Common-law partners - Opposite-sex (% Distribution)","Persons in a couple - Common-law partners - Opposite-sex (% Change)","Persons in a couple - Common-law partners - Same-sex (Counts)","Persons in a couple - Common-law partners - Same-sex (% Distribution)","Persons in a couple - Common-law partners - Same-sex (% Change)"
"60","Yukon","6.7","00100","2001","Male","With children","3830","100","","325","8.5","","3505","91.5","","2640","68.9","","2645","69.1","","","","","860","22.5","","860","22.5","","0","0",""
"60","Yukon","6.7","00100","2001","Male","With at least one child aged 0 to 14","2705","100","","175","6.5","","2525","93.3","","1825","67.5","","1825","67.5","","","","","700","25.9","","700","25.9","","0","0",""
"60","Yukon","6.7","00100","2001","Male","With children 15 years and over only","1130","100","","150","13.3","","975","86.3","","820","72.6","","815","72.1","","","","","160","14.2","","160","14.2","","0","0",""
"60","Yukon","6.7","00100","2001","Female","Total, presence and age of children","11120","100","","4835","43.5","","6285","56.5","","4465","40.2","","4470","40.2","","","","","1815","16.3","","1760","15.8","","55","0.5",""
"60","Yukon","6.7","00100","2001","Female","Without children","6390","100","","3615","56.6","","2770","43.3","","1825","28.6","","1820","28.5","","","","","945","14.8","","900","14.1","","45","0.7",""
"60","Yukon","6.7","00100","2001","Female","With children","4730","100","","1225","25.9","","3510","74.2","","2640","55.8","","2640","55.8","","","","","870","18.4","","865","18.3","","10","0.2",""
"60","Yukon","6.7","00100","2001","Female","With at least one child aged 0 to 14","3330","100","","800","24","","2540","76.3","","1830","55","","1825","54.8","","","","","710","21.3","","700","21","","10","0.3",""
"60","Yukon","6.7","00100","2001","Female","With children 15 years and over only","1400","100","","425","30.4","","975","69.6","","815","58.2","","820","58.6","","","","","160","11.4","","160","11.4","","0","0",""
"61","Northwest Territories","7.5","00100","2016","Both sexes","Total, presence and age of children","32330","100","4.8","14935","46.2","8.8","17390","53.8","1.7","11020","34.1","-0.9","10960","33.9","-1.1","60","0.2","100","6370","19.7","6.4","6280","19.4","5.8","85","0.3","54.5"
"61","Northwest Territories","7.5","00100","2016","Both sexes","Without children","19315","100","9.3","12525","64.8","9.8","6790","35.2","8.5","3955","20.5","8.1","3920","20.3","7.8","35","0.2","40","2835","14.7","9","2765","14.3","7.8","70","0.4","100"
"61","Northwest Territories","7.5","00100","2016","Both sexes","With children","13015","100","-1.2","2410","18.5","3.7","10605","81.5","-2.2","7065","54.3","-5.3","7040","54.1","-5.6","30","0.2","","3535","27.2","4.4","3520","27","4.6","20","0.2","0"
