Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016)
3534,Elgin,County,Ontario,35,3.7,00000,Male,43740,8590,27720,7420,635,43015,8640,28195,6180,535,42015,8585,28260,5170,440,100,19.6,63.4,17,1.5,100,20.1,65.5,14.4,1.2,100,20.4,67.3,12.3,1,1.7,-0.6,-1.7,20.1,18.7,4.1,0.1,-1.9,43.5,44.3
3534,Elgin,County,Ontario,35,3.7,00000,Female,45245,8105,28415,8720,1245,44445,8065,28910,7475,1195,43335,8335,28230,6770,1070,100,17.9,62.8,19.3,2.8,100,18.1,65,16.8,2.7,100,19.2,65.1,15.6,2.5,1.8,0.5,-1.7,16.7,4.2,4.4,-2.8,0.7,28.8,16.4
3536,Chatham-Kent,Census division,Ontario,35,4.3,00000,Both sexes,102040,16740,63850,21450,3065,104075,17710,67730,18630,2635,108590,19805,71525,17260,2090,100,16.4,62.6,21,3,100,17,65.1,17.9,2.5,100,18.2,65.9,15.9,1.9,-2,-5.5,-5.7,15.1,16.3,-6,-15.5,-10.7,24.3,46.7
3536,Chatham-Kent,Census division,Ontario,35,4.3,00000,Male,49750,8595,31495,9660,980,50615,8995,33490,8130,760,52850,9985,35570,7295,550,100,17.3,63.3,19.4,2,100,17.8,66.2,16.1,1.5,100,18.9,67.3,13.8,1,-1.7,-4.4,-6,18.8,28.9,-5.9,-13.9,-11.5,32.4,78.2
3536,Chatham-Kent,Census division,Ontario,35,4.3,00000,Female,52290,8145,32360,11790,2080,53460,8715,34240,10510,1870,55735,9815,35955,9965,1535,100,15.6,61.9,22.5,4,100,16.3,64,19.7,3.5,100,17.6,64.5,17.9,2.8,-2.2,-6.5,-5.5,12.2,11.2,-6.2,-17,-10,18.3,35.5
3537,Essex,County,Ontario,35,4.2,00000,Both sexes,398950,66775,261745,70440,9670,388780,68485,261160,59140,8020,393400,74950,265995,52455,5985,100,16.7,65.6,17.7,2.4,100,17.6,67.2,15.2,2.1,100,19.1,67.6,13.3,1.5,2.6,-2.5,0.2,19.1,20.6,1.4,-10.9,-1.6,34.3,61.6
3537,Essex,County,Ontario,35,4.2,00000,Male,196260,34370,130105,31780,3275,191230,35365,129610,26250,2570,193925,38545,132825,22555,1815,100,17.5,66.3,16.2,1.7,100,18.5,67.8,13.7,1.3,100,19.9,68.5,11.6,0.9,2.6,-2.8,0.4,21.1,27.4,1.2,-10.8,-2,40.9,80.4
3537,Essex,County,Ontario,35,4.2,00000,Female,202695,32400,131635,38655,6400,197555,33115,131550,32885,5445,199475,36400,133175,29895,4170,100,16,64.9,19.1,3.2,100,16.8,66.6,16.6,2.8,100,18.2,66.8,15,2.1,2.6,-2.2,0.1,17.5,17.5,1.6,-11,-1.2,29.3,53.5
3538,Lambton,County,Ontario,35,4.2,00000,Both sexes,126635,19605,79745,27290,3560,126200,19675,82875,23645,3070,128200,21700,84840,21670,2555,100,15.5,63,21.6,2.8,100,15.6,65.7,18.7,2.4,100,16.9,66.2,16.9,2,0.3,-0.4,-3.8,15.4,16,-1.2,-9.7,-6,25.9,39.3
3538,Lambton,County,Ontario,35,4.2,00000,Male,62000,9950,39510,12535,1270,61450,9960,40925,10570,955,62450,11060,41975,9410,775,100,16,63.7,20.2,2,100,16.2,66.6,17.2,1.6,100,17.7,67.2,15.1,1.2,0.9,-0.1,-3.5,18.6,33,-0.7,-10,-5.9,33.2,63.9
