Geographic code,Geographic name,Geographic Type,"Geographic Name, province or territory","Geographic Code, province or territory",Additional province code,Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (2006 Counts),Broad Age Groups: 0 to 14 (2006 Counts),Broad Age Groups: 15 to 64 (2006 Counts),Broad Age Groups: 65 years and over (2006 Counts),Broad Age Groups: 85 years and over (2006 Counts),Total (2001 Counts),Broad Age Groups: 0 to 14 (2001 Counts),Broad Age Groups: 15 to 64 (2001 Counts),Broad Age Groups: 65 years and over (2001 Counts),Broad Age Groups: 85 years and over (2001 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (% Distribution 2006),Broad Age Groups: 0 to 14 (% Distribution 2006) ,Broad Age Groups: 15 to 64 (% Distribution 2006),Broad Age Groups: 65 years and over (% Distribution 2006),Broad Age Groups: 85 years and over (% Distribution 2006),Total (% Distribution 2001),Broad Age Groups: 0 to 14 (% Distribution 2001) ,Broad Age Groups: 15 to 64 (% Distribution 2001),Broad Age Groups: 65 years and over (% Distribution 2001),Broad Age Groups: 85 years and over (% Distribution 2001),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016),Total (Percent Change 2006 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2006 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2006 to 2016),Broad Age Groups: 65 years and over (Percent Change 2006 to 2016),Broad Age Groups: 85 years and over (Percent Change 2006 to 2016),Total (Percent Change 2001 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2001 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2001 to 2016),Broad Age Groups: 65 years and over (Percent Change 2001 to 2016),Broad Age Groups: 85 years and over (Percent Change 2001 to 2016)
225,Cape Breton,CA,Nova Scotia,12, ,3.9,00000,Male,46770,6995,29865,9910,855,48130,7510,32230,8390,770,49905,8495,33725,7685,665,51790,10050,34725,7020,550,100,15,63.9,21.2,1.8,100,15.6,67,17.4,1.6,100,17,67.6,15.4,1.3,100,19.4,67,13.6,1.1,-2.8,-6.9,-7.3,18.1,11,-6.3,-17.7,-11.4,29,28.6,-9.7,-30.4,-14,41.2,55.5
225,Cape Breton,CA,Nova Scotia,12, ,3.9,00000,Female,51950,6785,32530,12635,1880,53490,7205,35025,11260,1895,56025,8150,36765,11105,1845,57540,9645,37430,10465,1490,100,13.1,62.6,24.3,3.6,100,13.5,65.5,21.1,3.5,100,14.5,65.6,19.8,3.3,100,16.8,65.1,18.2,2.6,-2.9,-5.8,-7.1,12.2,-0.8,-7.3,-16.7,-11.5,13.8,1.9,-9.7,-29.7,-13.1,20.7,26.2
305,Moncton,CMA,New Brunswick,13, ,3.9,00000,Both sexes,144805,22720,96970,25120,3250,139285,21550,97360,20375,3070,127225,20360,89440,17420,2595,119460,20035,83570,15855,1900,100,15.7,67,17.3,2.2,100,15.5,69.9,14.6,2.2,100,16,70.3,13.7,2,100,16.8,70,13.3,1.6,4,5.4,-0.4,23.3,5.9,13.8,11.6,8.4,44.2,25.2,21.2,13.4,16,58.4,71.1
305,Moncton,CMA,New Brunswick,13, ,3.9,00000,Male,70750,11685,47840,11225,1065,67825,11040,47980,8810,985,61580,10400,43965,7215,765,57805,10205,41205,6390,500,100,16.5,67.6,15.9,1.5,100,16.3,70.7,13,1.5,100,16.9,71.4,11.7,1.2,100,17.7,71.3,11.1,0.9,4.3,5.8,-0.3,27.4,8.1,14.9,12.4,8.8,55.6,39.2,22.4,14.5,16.1,75.7,113
305,Moncton,CMA,New Brunswick,13, ,3.9,00000,Female,74060,11035,49125,13900,2190,71455,10510,49385,11565,2085,65645,9965,45480,10205,1830,61665,9830,42365,9470,1400,100,14.9,66.3,18.8,3,100,14.7,69.1,16.2,2.9,100,15.2,69.3,15.5,2.8,100,15.9,68.7,15.4,2.3,3.6,5,-0.5,20.2,5,12.8,10.7,8,36.2,19.7,20.1,12.3,16,46.8,56.4
310,Saint John,CMA,New Brunswick,13, ,3.6,00000,Both sexes,126200,20310,82945,22950,2875,129055,21170,88395,19490,2710,123600,21520,84880,17200,2460,123900,23705,83885,16305,2020,100,16.1,65.7,18.2,2.3,100,16.4,68.5,15.1,2.1,100,17.4,68.7,13.9,2,100,19.1,67.7,13.2,1.6,-2.2,-4.1,-6.2,17.8,6.1,2.1,-5.6,-2.3,33.4,16.9,1.9,-14.3,-1.1,40.8,42.3
310,Saint John,CMA,New Brunswick,13, ,3.6,00000,Male,60830,10295,40315,10225,895,62145,10775,42925,8445,800,59245,11125,40970,7155,665,59560,12270,40770,6520,560,100,16.9,66.3,16.8,1.5,100,17.3,69.1,13.6,1.3,100,18.8,69.2,12.1,1.1,100,20.6,68.5,10.9,0.9,-2.1,-4.5,-6.1,21.1,11.9,2.7,-7.5,-1.6,42.9,34.6,2.1,-16.1,-1.1,56.8,59.8
310,Saint John,CMA,New Brunswick,13, ,3.6,00000,Female,65370,10015,42635,12720,1980,66910,10395,45470,11045,1915,64355,10395,43910,10045,1795,64340,11435,43120,9785,1460,100,15.3,65.2,19.5,3,100,15.5,68,16.5,2.9,100,16.2,68.2,15.6,2.8,100,17.8,67,15.2,2.3,-2.3,-3.7,-6.2,15.2,3.4,1.6,-3.7,-2.9,26.6,10.3,1.6,-12.4,-1.1,30,35.6
320,Fredericton,CA,New Brunswick,13, ,3.5,00000,Both sexes,101760,16650,68400,16710,1875,98320,16110,68595,13620,1735,90275,15285,63590,11395,1395,85915,15545,60390,9985,1175,100,16.4,67.2,16.4,1.8,100,16.4,69.8,13.9,1.8,100,16.9,70.4,12.6,1.5,100,18.1,70.3,11.6,1.4,3.5,3.4,-0.3,22.7,8.1,12.7,8.9,7.6,46.6,34.4,18.4,7.1,13.3,67.4,59.6
320,Fredericton,CA,New Brunswick,13, ,3.5,00000,Male,49400,8370,33425,7605,620,47755,8165,33535,6060,555,43710,7790,30980,4940,405,41530,7935,29405,4190,340,100,16.9,67.7,15.4,1.3,100,17.1,70.2,12.7,1.2,100,17.8,70.9,11.3,0.9,100,19.1,70.8,10.1,0.8,3.4,2.5,-0.3,25.5,11.7,13,7.4,7.9,53.9,53.1,19,5.5,13.7,81.5,82.4
320,Fredericton,CA,New Brunswick,13, ,3.5,00000,Female,52360,8280,34975,9105,1255,50565,7940,35060,7560,1185,46565,7495,32610,6455,990,44385,7605,30985,5790,840,100,15.8,66.8,17.4,2.4,100,15.7,69.3,15,2.3,100,16.1,70,13.9,2.1,100,17.1,69.8,13,1.9,3.5,4.3,-0.2,20.4,5.9,12.4,10.5,7.3,41.1,26.8,18,8.9,12.9,57.3,49.4
328,Bathurst,CA,New Brunswick,13, ,4.3,00000,Both sexes,31110,3650,19865,7595,805,31935,4095,21850,5990,620,32395,4750,22680,4965,540,33565,5615,23755,4200,430,100,11.7,63.9,24.4,2.6,100,12.8,68.4,18.8,1.9,100,14.7,70,15.3,1.7,100,16.7,70.8,12.5,1.3,-2.6,-10.9,-9.1,26.8,29.8,-4,-23.2,-12.4,53,49.1,-7.3,-35,-16.4,80.8,87.2
328,Bathurst,CA,New Brunswick,13, ,4.3,00000,Male,15175,1865,9750,3555,270,15535,2060,10695,2780,180,15775,2415,11120,2245,170,16365,2845,11720,1800,110,100,12.3,64.3,23.4,1.8,100,13.3,68.8,17.9,1.2,100,15.3,70.5,14.2,1.1,100,17.4,71.6,11,0.7,-2.3,-9.5,-8.8,27.9,50,-3.8,-22.8,-12.3,58.4,58.8,-7.3,-34.4,-16.8,97.5,145.5
328,Bathurst,CA,New Brunswick,13, ,4.3,00000,Female,15935,1785,10110,4040,535,16400,2035,11155,3210,435,16615,2340,11560,2720,365,17200,2765,12030,2405,315,100,11.2,63.4,25.4,3.4,100,12.4,68,19.6,2.7,100,14.1,69.6,16.4,2.2,100,16.1,69.9,14,1.8,-2.8,-12.3,-9.4,25.9,23,-4.1,-23.7,-12.5,48.5,46.6,-7.4,-35.4,-16,68,69.8
329,Miramichi,CA,New Brunswick,13, ,3.8,00000,Both sexes,27520,3875,17430,6215,685,28110,4080,18855,5180,635,28770,4645,19465,4665,580,29645,5220,20170,4260,475,100,14.1,63.3,22.6,2.5,100,14.5,67.1,18.4,2.3,100,16.1,67.7,16.2,2,100,17.6,68,14.4,1.6,-2.1,-5,-7.6,20,7.9,-4.3,-16.6,-10.5,33.2,18.1,-7.2,-25.8,-13.6,45.9,44.2
329,Miramichi,CA,New Brunswick,13, ,3.8,00000,Male,13190,1970,8345,2875,215,13640,2065,9185,2390,210,13980,2365,9560,2055,185,14525,2685,10005,1840,155,100,14.9,63.3,21.8,1.6,100,15.1,67.3,17.5,1.5,100,16.9,68.4,14.7,1.3,100,18.5,68.9,12.7,1.1,-3.3,-4.6,-9.1,20.3,2.4,-5.7,-16.7,-12.7,39.9,16.2,-9.2,-26.6,-16.6,56.3,38.7
329,Miramichi,CA,New Brunswick,13, ,3.8,00000,Female,14330,1905,9090,3340,465,14470,2015,9660,2795,425,14790,2280,9900,2610,390,15120,2535,10165,2420,320,100,13.3,63.4,23.3,3.2,100,13.9,66.8,19.3,2.9,100,15.4,66.9,17.6,2.6,100,16.8,67.2,16,2.1,-1,-5.5,-5.9,19.5,9.4,-3.1,-16.4,-8.2,28,19.2,-5.2,-24.9,-10.6,38,45.3
330,Campbellton,CA,New Brunswick / Quebec,13,24,6.3,00000,Both sexes,15745,2110,10055,3580,425,17370,2500,11590,3280,425,17360,2665,11770,2920,335,18220,3320,12185,2720,295,100,13.4,63.9,22.7,2.7,100,14.4,66.7,18.9,2.4,100,15.4,67.8,16.8,1.9,100,18.2,66.9,14.9,1.6,-9.4,-15.6,-13.2,9.1,0,-9.3,-20.8,-14.6,22.6,26.9,-13.6,-36.4,-17.5,31.6,44.1
330,Campbellton,CA,New Brunswick / Quebec,13,24,6.3,00000,Male,7550,1090,4860,1605,140,8305,1300,5600,1405,150,8285,1370,5715,1200,95,8805,1685,5975,1145,85,100,14.4,64.4,21.3,1.9,100,15.7,67.4,16.9,1.8,100,16.5,69,14.5,1.1,100,19.1,67.9,13,1,-9.1,-16.2,-13.2,14.2,-6.7,-8.9,-20.4,-15,33.8,47.4,-14.3,-35.3,-18.7,40.2,64.7
330,Campbellton,CA,New Brunswick / Quebec,13,24,6.3,00000,Female,8195,1020,5200,1975,280,9065,1200,5990,1875,275,9075,1300,6060,1720,240,9415,1635,6210,1580,210,100,12.4,63.5,24.1,3.4,100,13.2,66.1,20.7,3,100,14.3,66.8,19,2.6,100,17.4,66,16.8,2.2,-9.6,-15,-13.2,5.3,1.8,-9.7,-21.5,-14.2,14.8,16.7,-13,-37.6,-16.3,25,33.3
13330,Campbellton (New Brunswick part),CA,New Brunswick,13,24,4.8,00000,Both sexes,13115,1595,8380,3145,390,14050,1775,9395,2880,385,14300,2065,9675,2560,310,15265,2595,10240,2425,280,100,12.2,63.9,24,3,100,12.6,66.9,20.5,2.7,100,14.4,67.7,17.9,2.2,100,17,67.1,15.9,1.8,-6.7,-10.1,-10.8,9.2,1.3,-8.3,-22.8,-13.4,22.9,25.8,-14.1,-38.5,-18.2,29.7,39.3
13330,Campbellton (New Brunswick part),CA,New Brunswick,13,24,4.8,00000,Male,6325,830,4095,1405,125,6705,915,4575,1220,135,6780,1055,4670,1045,85,7350,1310,5040,995,80,100,13.1,64.7,22.2,2,100,13.6,68.2,18.2,2,100,15.6,68.9,15.4,1.3,100,17.8,68.6,13.5,1.1,-5.7,-9.3,-10.5,15.2,-7.4,-6.7,-21.3,-12.3,34.4,47.1,-13.9,-36.6,-18.8,41.2,56.3
13330,Campbellton (New Brunswick part),CA,New Brunswick,13,24,4.8,00000,Female,6790,765,4285,1740,260,7345,860,4820,1660,255,7520,1010,5000,1510,220,7915,1285,5205,1425,200,100,11.3,63.1,25.6,3.8,100,11.7,65.6,22.6,3.5,100,13.4,66.5,20.1,2.9,100,16.2,65.8,18,2.5,-7.6,-11,-11.1,4.8,2,-9.7,-24.3,-14.3,15.2,18.2,-14.2,-40.5,-17.7,22.1,30
24330,Campbellton (Quebec part),CA,Quebec,24,13,13.9,01000,Both sexes,2630,515,1680,435,30,3320,730,2195,395,35,3065,600,2100,360,25,2950,720,1940,295,15,100,19.6,63.9,16.5,1.1,100,22,66.1,11.9,1.1,100,19.6,68.5,11.7,0.8,100,24.4,65.8,10,0.5,-20.8,-29.5,-23.5,10.1,-14.3,-14.2,-14.2,-20,20.8,20,-10.8,-28.5,-13.4,47.5,100
24330,Campbellton (Quebec part),CA,Quebec,24,13,13.9,01000,Male,1225,265,770,200,15,1595,385,1025,190,15,1505,315,1040,155,10,1455,375,935,145,10,100,21.6,62.9,16.3,1.2,100,24.1,64.3,11.9,0.9,100,20.9,69.1,10.3,0.7,100,25.8,64.3,10,0.7,-23.2,-31.2,-24.9,5.3,0,-18.6,-15.9,-26,29,50,-15.8,-29.3,-17.6,37.9,50
24330,Campbellton (Quebec part),CA,Quebec,24,13,13.9,01000,Female,1405,255,915,235,15,1720,340,1170,215,20,1555,290,1055,205,15,1495,350,1005,145,15,100,18.1,65.1,16.7,1.1,100,19.8,68,12.5,1.2,100,18.6,67.8,13.2,1,100,23.4,67.2,9.7,1,-18.3,-25,-21.8,9.3,-25,-9.6,-12.1,-13.3,14.6,0,-6,-27.1,-9,62.1,0
335,Edmundston,CA,New Brunswick,13, ,4.5,00000,Both sexes,23525,3100,14915,5515,630,23820,3180,16295,4345,555,23965,3360,16930,3675,360,25010,3840,17615,3550,360,100,13.2,63.4,23.4,2.7,100,13.4,68.4,18.2,2.3,100,14,70.6,15.3,1.5,100,15.4,70.4,14.2,1.4,-1.2,-2.5,-8.5,26.9,13.5,-1.8,-7.7,-11.9,50.1,75,-5.9,-19.3,-15.3,55.4,75
335,Edmundston,CA,New Brunswick,13, ,4.5,00000,Male,11420,1600,7350,2470,205,11470,1620,8005,1845,170,11510,1690,8310,1510,90,11990,1895,8690,1405,95,100,14,64.4,21.6,1.8,100,14.1,69.8,16.1,1.5,100,14.7,72.2,13.1,0.8,100,15.8,72.5,11.7,0.8,-0.4,-1.2,-8.2,33.9,20.6,-0.8,-5.3,-11.6,63.6,127.8,-4.8,-15.6,-15.4,75.8,115.8
335,Edmundston,CA,New Brunswick,13, ,4.5,00000,Female,12105,1505,7560,3040,425,12350,1565,8285,2500,390,12455,1670,8615,2170,270,13025,1950,8930,2150,260,100,12.4,62.5,25.1,3.5,100,12.7,67.1,20.2,3.2,100,13.4,69.2,17.4,2.2,100,15,68.6,16.5,2,-2,-3.8,-8.8,21.6,9,-2.8,-9.9,-12.2,40.1,57.4,-7.1,-22.8,-15.3,41.4,63.5
403,Matane,CA,Quebec,24, ,4.8,00000,Both sexes,17925,2275,10970,4680,655,18365,2295,12125,3950,495,18710,2530,12845,3335,380,18865,2875,12965,3030,325,100,12.7,61.2,26.1,3.7,100,12.5,66,21.5,2.7,100,13.5,68.7,17.8,2,100,15.2,68.7,16.1,1.7,-2.4,-0.9,-9.5,18.5,32.3,-4.2,-10.1,-14.6,40.3,72.4,-5,-20.9,-15.4,54.5,101.5
403,Matane,CA,Quebec,24, ,4.8,00000,Male,8840,1185,5460,2195,235,9005,1195,6015,1800,145,9140,1365,6345,1430,110,9170,1500,6395,1280,110,100,13.4,61.8,24.8,2.7,100,13.3,66.8,20,1.6,100,14.9,69.4,15.6,1.2,100,16.4,69.7,14,1.2,-1.8,-0.8,-9.2,21.9,62.1,-3.3,-13.2,-13.9,53.5,113.6,-3.6,-21,-14.6,71.5,113.6
403,Matane,CA,Quebec,24, ,4.8,00000,Female,9085,1090,5515,2480,420,9365,1100,6115,2150,345,9570,1160,6500,1910,270,9695,1375,6570,1750,210,100,12,60.7,27.3,4.6,100,11.7,65.3,23,3.7,100,12.1,67.9,20,2.8,100,14.2,67.8,18.1,2.2,-3,-0.9,-9.8,15.3,21.7,-5.1,-6,-15.2,29.8,55.6,-6.3,-20.7,-16.1,41.7,100
404,Rimouski,CA,Quebec,24, ,4.0,00000,Both sexes,55350,8005,35170,12175,1660,53705,7400,36575,9735,1265,51705,7495,36105,8100,975,50730,7965,35745,7025,750,100,14.5,63.5,22,3,100,13.8,68.1,18.1,2.4,100,14.5,69.8,15.7,1.9,100,15.7,70.5,13.8,1.5,3.1,8.2,-3.8,25.1,31.2,7,6.8,-2.6,50.3,70.3,9.1,0.5,-1.6,73.3,121.3
404,Rimouski,CA,Quebec,24, ,4.0,00000,Male,26720,4150,17245,5320,525,25835,3875,17870,4090,335,24720,3835,17615,3270,260,24180,3995,17440,2745,170,100,15.5,64.5,19.9,2,100,15,69.2,15.8,1.3,100,15.5,71.3,13.2,1.1,100,16.5,72.1,11.4,0.7,3.4,7.1,-3.5,30.1,56.7,8.1,8.2,-2.1,62.7,101.9,10.5,3.9,-1.1,93.8,208.8
404,Rimouski,CA,Quebec,24, ,4.0,00000,Female,28630,3860,17925,6850,1130,27880,3525,18700,5650,930,26990,3665,18495,4830,715,26550,3970,18300,4275,580,100,13.5,62.6,23.9,3.9,100,12.6,67.1,20.3,3.3,100,13.6,68.5,17.9,2.6,100,15,68.9,16.1,2.2,2.7,9.5,-4.1,21.2,21.5,6.1,5.3,-3.1,41.8,58,7.8,-2.8,-2,60.2,94.8
405,Rivière-du-Loup,CA,Quebec,24, ,3.9,00000,Both sexes,28900,4510,18065,6330,895,28990,4250,19380,5355,815,27575,4145,19070,4360,630,26160,4155,18025,3975,500,100,15.6,62.5,21.9,3.1,100,14.7,66.9,18.5,2.8,100,15,69.2,15.8,2.3,100,15.9,68.9,15.2,1.9,-0.3,6.1,-6.8,18.2,9.8,4.8,8.8,-5.3,45.2,42.1,10.5,8.5,0.2,59.2,79
405,Rivière-du-Loup,CA,Quebec,24, ,3.9,00000,Male,14080,2290,8995,2795,285,14095,2180,9640,2275,250,13305,2120,9415,1775,190,12585,2140,8910,1535,140,100,16.3,63.9,19.9,2,100,15.5,68.4,16.1,1.8,100,15.9,70.8,13.3,1.4,100,17,70.8,12.2,1.1,-0.1,5,-6.7,22.9,14,5.8,8,-4.5,57.5,50,11.9,7,1,82.1,103.6
405,Rivière-du-Loup,CA,Quebec,24, ,3.9,00000,Female,14825,2220,9075,3530,610,14895,2070,9745,3080,565,14270,2020,9660,2585,440,13575,2015,9110,2440,360,100,15,61.2,23.8,4.1,100,13.9,65.4,20.7,3.8,100,14.2,67.7,18.1,3.1,100,14.8,67.1,18,2.7,-0.5,7.2,-6.9,14.6,8,3.9,9.9,-6.1,36.6,38.6,9.2,10.2,-0.4,44.7,69.4
406,Baie-Comeau,CA,Quebec,24, ,4.5,00000,Both sexes,27690,4100,18305,5285,565,28465,4130,19870,4465,420,29330,4745,20975,3610,255,29975,5445,21575,2955,190,100,14.8,66.1,19.1,2,100,14.5,69.8,15.7,1.5,100,16.2,71.5,12.3,0.9,100,18.2,72,9.9,0.6,-2.7,-0.7,-7.9,18.4,34.5,-5.6,-13.6,-12.7,46.4,121.6,-7.6,-24.7,-15.2,78.8,197.4
406,Baie-Comeau,CA,Quebec,24, ,4.5,00000,Male,13830,2030,9320,2490,215,14255,2020,10155,2075,145,14880,2360,10855,1670,90,15190,2820,11025,1345,65,100,14.7,67.4,18,1.6,100,14.2,71.2,14.6,1,100,15.9,73,11.2,0.6,100,18.6,72.6,8.9,0.4,-3,0.5,-8.2,20,48.3,-7.1,-14,-14.1,49.1,138.9,-9,-28,-15.5,85.1,230.8
406,Baie-Comeau,CA,Quebec,24, ,4.5,00000,Female,13860,2075,8990,2795,355,14210,2115,9715,2390,275,14445,2385,10120,1940,170,14785,2620,10550,1610,120,100,15,64.9,20.2,2.6,100,14.9,68.4,16.8,1.9,100,16.5,70.1,13.4,1.2,100,17.7,71.4,10.9,0.8,-2.5,-1.9,-7.5,16.9,29.1,-4,-13,-11.2,44.1,108.8,-6.3,-20.8,-14.8,73.6,195.8
408,Saguenay,CMA,Quebec,24, ,3.8,00000,Both sexes,160980,24210,103645,33125,3815,158660,22640,108365,27650,3080,157170,24200,109340,23625,2150,160110,27320,112310,20480,1510,100,15,64.4,20.6,2.4,100,14.3,68.3,17.4,1.9,100,15.4,69.6,15,1.4,100,17.1,70.1,12.8,0.9,1.5,6.9,-4.4,19.8,23.9,2.4,0,-5.2,40.2,77.4,0.5,-11.4,-7.7,61.7,152.6
408,Saguenay,CMA,Quebec,24, ,3.8,00000,Male,79960,12290,52620,15055,1245,78355,11560,54890,11905,900,77085,12330,54940,9815,590,78850,14070,56390,8390,410,100,15.4,65.8,18.8,1.6,100,14.8,70.1,15.2,1.1,100,16,71.3,12.7,0.8,100,17.8,71.5,10.6,0.5,2,6.3,-4.1,26.5,38.3,3.7,-0.3,-4.2,53.4,111,1.4,-12.7,-6.7,79.4,203.7
408,Saguenay,CMA,Quebec,24, ,3.8,00000,Female,81020,11920,51025,18070,2570,80305,11080,53475,15745,2175,80085,11875,54400,13810,1560,81260,13250,55920,12085,1100,100,14.7,63,22.3,3.2,100,13.8,66.6,19.6,2.7,100,14.8,67.9,17.2,1.9,100,16.3,68.8,14.9,1.4,0.9,7.6,-4.6,14.8,18.2,1.2,0.4,-6.2,30.8,64.7,-0.3,-10,-8.8,49.5,133.6
410,Alma,CA,Quebec,24, ,3.7,00000,Both sexes,32845,5245,20780,6825,900,33015,5025,22110,5885,610,31865,5120,21835,4905,385,32155,5635,22465,4055,260,100,16,63.3,20.8,2.7,100,15.2,67,17.8,1.8,100,16.1,68.5,15.4,1.2,100,17.5,69.9,12.6,0.8,-0.5,4.4,-6,16,47.5,3.1,2.4,-4.8,39.1,133.8,2.1,-6.9,-7.5,68.3,246.2
410,Alma,CA,Quebec,24, ,3.7,00000,Male,16310,2685,10555,3075,360,16235,2520,11155,2560,210,15680,2610,10900,2170,135,15905,2870,11280,1755,80,100,16.5,64.7,18.9,2.2,100,15.5,68.7,15.8,1.3,100,16.6,69.5,13.8,0.9,100,18,70.9,11,0.5,0.5,6.5,-5.4,20.1,71.4,4,2.9,-3.2,41.7,166.7,2.5,-6.4,-6.4,75.2,350
410,Alma,CA,Quebec,24, ,3.7,00000,Female,16540,2560,10225,3755,540,16780,2505,10955,3325,395,16190,2520,10935,2735,250,16245,2765,11185,2300,180,100,15.5,61.8,22.7,3.3,100,14.9,65.3,19.8,2.4,100,15.6,67.5,16.9,1.5,100,17,68.9,14.2,1.1,-1.4,2.2,-6.7,12.9,36.7,2.2,1.6,-6.5,37.3,116,1.8,-7.4,-8.6,63.3,200
411,Dolbeau-Mistassini,CA,Quebec,24, ,4.5,00000,Both sexes,15675,2435,9545,3695,490,15825,2385,10445,2995,365,16030,2550,11010,2470,245,16350,2905,11345,2100,180,100,15.5,60.9,23.6,3.1,100,15.1,66,18.9,2.3,100,15.9,68.7,15.4,1.5,100,17.8,69.4,12.8,1.1,-0.9,2.1,-8.6,23.4,34.2,-2.2,-4.5,-13.3,49.6,100,-4.1,-16.2,-15.9,76,172.2
411,Dolbeau-Mistassini,CA,Quebec,24, ,4.5,00000,Male,7770,1260,4805,1710,170,7835,1200,5285,1355,125,7960,1290,5595,1075,70,8170,1475,5795,900,55,100,16.2,61.8,22,2.2,100,15.3,67.5,17.3,1.6,100,16.2,70.3,13.5,0.9,100,18.1,70.9,11,0.7,-0.8,5,-9.1,26.2,36,-2.4,-2.3,-14.1,59.1,142.9,-4.9,-14.6,-17.1,90,209.1
411,Dolbeau-Mistassini,CA,Quebec,24, ,4.5,00000,Female,7900,1175,4735,1990,320,7990,1190,5165,1640,235,8065,1260,5415,1395,170,8180,1430,5550,1200,130,100,14.9,59.9,25.2,4.1,100,14.9,64.6,20.5,2.9,100,15.6,67.1,17.3,2.1,100,17.5,67.8,14.7,1.6,-1.1,-1.3,-8.3,21.3,36.2,-2,-6.7,-12.6,42.7,88.2,-3.4,-17.8,-14.7,65.8,146.2
412,Sept-Îles,CA,Quebec,24, ,5.2,00000,Both sexes,28535,5285,18705,4545,425,28490,5220,19365,3900,340,27825,5310,19195,3325,225,27620,5430,19600,2585,145,100,18.5,65.6,15.9,1.5,100,18.3,68,13.7,1.2,100,19.1,69,11.9,0.8,100,19.7,71,9.4,0.5,0.2,1.2,-3.4,16.5,25,2.6,-0.5,-2.6,36.7,88.9,3.3,-2.7,-4.6,75.8,193.1
412,Sept-Îles,CA,Quebec,24, ,5.2,00000,Male,14370,2695,9480,2190,160,14310,2705,9780,1820,105,13905,2730,9570,1605,75,13805,2795,9795,1210,40,100,18.8,66,15.2,1.1,100,18.9,68.3,12.7,0.7,100,19.6,68.8,11.5,0.5,100,20.2,71,8.8,0.3,0.4,-0.4,-3.1,20.3,52.4,3.3,-1.3,-0.9,36.4,113.3,4.1,-3.6,-3.2,81,300
412,Sept-Îles,CA,Quebec,24, ,5.2,00000,Female,14165,2595,9220,2350,260,14175,2515,9585,2080,240,13925,2580,9625,1720,145,13820,2640,9805,1375,100,100,18.3,65.1,16.6,1.8,100,17.7,67.6,14.7,1.7,100,18.5,69.1,12.4,1,100,19.1,70.9,9.9,0.7,-0.1,3.2,-3.8,13,8.3,1.7,0.6,-4.2,36.6,79.3,2.5,-1.7,-6,70.9,160
421,Québec,CMA,Quebec,24, ,4.0,00000,Both sexes,800295,124495,522130,153670,19300,767310,112605,528190,126515,16410,720600,109220,507700,103680,12315,691325,111820,489250,90255,9200,100,15.6,65.2,19.2,2.4,100,14.7,68.8,16.5,2.1,100,15.2,70.5,14.4,1.7,100,16.2,70.8,13.1,1.3,4.3,10.6,-1.1,21.5,17.6,11.1,14,2.8,48.2,56.7,15.8,11.3,6.7,70.3,109.8
421,Québec,CMA,Quebec,24, ,4.0,00000,Male,390780,63430,260475,66880,5965,372695,57380,262410,52905,4465,347655,55520,250460,41685,2980,332955,56745,241250,34965,2075,100,16.2,66.7,17.1,1.5,100,15.4,70.4,14.2,1.2,100,16,72,12,0.9,100,17,72.5,10.5,0.6,4.9,10.5,-0.7,26.4,33.6,12.4,14.2,4,60.4,100.2,17.4,11.8,8,91.3,187.5
421,Québec,CMA,Quebec,24, ,4.0,00000,Female,409515,61065,261660,86795,13340,394615,55220,265780,73615,11950,372945,53700,257245,62000,9335,358370,55080,248000,55290,7130,100,14.9,63.9,21.2,3.3,100,14,67.4,18.7,3,100,14.4,69,16.6,2.5,100,15.4,69.2,15.4,2,3.8,10.6,-1.6,17.9,11.6,9.8,13.7,1.7,40,42.9,14.3,10.9,5.5,57,87.1
423,Sainte-Marie,CA,Quebec,24, ,3.5,00000,Both sexes,13565,2340,8720,2510,360,12890,2115,8705,2065,320,11585,1940,8150,1500,160,11320,2145,7875,1295,135,100,17.3,64.3,18.5,2.7,100,16.4,67.5,16,2.5,100,16.7,70.3,12.9,1.4,100,18.9,69.6,11.4,1.2,5.2,10.6,0.2,21.5,12.5,17.1,20.6,7,67.3,125,19.8,9.1,10.7,93.8,166.7
