Geographic code,Geographic name,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016)
1040,Notre Dame--Central Bonavista Bay,Newfoundland and Labrador,10,4.2,00000,Male,52985,7210,33490,12280,905,53385,7810,35580,9995,810,100,13.6,63.2,23.2,1.7,100,14.6,66.6,18.7,1.5,-0.7,-7.7,-5.9,22.9,11.7
1040,Notre Dame--Central Bonavista Bay,Newfoundland and Labrador,10,4.2,00000,Female,55245,6735,34895,13615,1520,55720,7335,37065,11325,1395,100,12.2,63.2,24.6,2.8,100,13.2,66.5,20.3,2.5,-0.9,-8.2,-5.9,20.2,9
1110,Prince Edward Island,Prince Edward Island,11,4.1,00000,Both sexes,142905,22685,92510,27715,3080,140205,23060,94360,22785,2995,100,15.9,64.7,19.4,2.2,100,16.4,67.3,16.3,2.1,1.9,-1.6,-2,21.6,2.8
1110,Prince Edward Island,Prince Edward Island,11,4.1,00000,Male,69305,11570,45095,12640,1020,67600,11700,45765,10135,890,100,16.7,65.1,18.2,1.5,100,17.3,67.7,15,1.3,2.5,-1.1,-1.5,24.7,14.6
1110,Prince Edward Island,Prince Edward Island,11,4.1,00000,Female,73600,11115,47415,15070,2060,72605,11360,48590,12650,2105,100,15.1,64.4,20.5,2.8,100,15.6,66.9,17.4,2.9,1.4,-2.2,-2.4,19.1,-2.1
1210,Cape Breton,Nova Scotia,12,4.1,00000,Both sexes,132010,18310,82500,31195,3640,135975,19835,89400,26740,3505,100,13.9,62.5,23.6,2.8,100,14.6,65.7,19.7,2.6,-2.9,-7.7,-7.7,16.7,3.9
1210,Cape Breton,Nova Scotia,12,4.1,00000,Male,63080,9345,39720,14010,1155,64970,10175,43120,11675,1045,100,14.8,63,22.2,1.8,100,15.7,66.4,18,1.6,-2.9,-8.2,-7.9,20,10.5
1210,Cape Breton,Nova Scotia,12,4.1,00000,Female,68925,8960,42780,17185,2480,71000,9660,46280,15065,2465,100,13,62.1,24.9,3.6,100,13.6,65.2,21.2,3.5,-2.9,-7.2,-7.6,14.1,0.6
1220,North Shore,Nova Scotia,12,4.1,00000,Both sexes,151265,21970,94485,34805,4280,155695,23500,102620,29575,4115,100,14.5,62.5,23,2.8,100,15.1,65.9,19,2.6,-2.8,-6.5,-7.9,17.7,4
1220,North Shore,Nova Scotia,12,4.1,00000,Male,73170,11165,45980,16025,1410,75340,12035,50030,13275,1230,100,15.3,62.8,21.9,1.9,100,16,66.4,17.6,1.6,-2.9,-7.2,-8.1,20.7,14.6
1220,North Shore,Nova Scotia,12,4.1,00000,Female,78095,10805,48510,18785,2870,80355,11470,52590,16295,2885,100,13.8,62.1,24.1,3.7,100,14.3,65.4,20.3,3.6,-2.8,-5.8,-7.8,15.3,-0.5
1230,Annapolis Valley,Nova Scotia,12,3.9,00000,Both sexes,123750,18840,79030,25880,2940,123645,19615,82365,21670,2700,100,15.2,63.9,20.9,2.4,100,15.9,66.6,17.5,2.2,0.1,-4,-4,19.4,8.9
1230,Annapolis Valley,Nova Scotia,12,3.9,00000,Male,60235,9655,38645,11935,975,60175,10045,40375,9755,855,100,16,64.2,19.8,1.6,100,16.7,67.1,16.2,1.4,0.1,-3.9,-4.3,22.3,14
1230,Annapolis Valley,Nova Scotia,12,3.9,00000,Female,63515,9190,40385,13940,1965,63475,9565,41990,11925,1850,100,14.5,63.6,21.9,3.1,100,15.1,66.2,18.8,2.9,0.1,-3.9,-3.8,16.9,6.2
1240,Southern,Nova Scotia,12,4.1,00000,Both sexes,113185,14175,70250,28765,3595,116080,15650,76150,24280,3405,100,12.5,62.1,25.4,3.2,100,13.5,65.6,20.9,2.9,-2.5,-9.4,-7.7,18.5,5.6
1240,Southern,Nova Scotia,12,4.1,00000,Male,55065,7290,34475,13305,1240,56400,7955,37405,11040,1175,100,13.2,62.6,24.2,2.3,100,14.1,66.3,19.6,2.1,-2.4,-8.4,-7.8,20.5,5.5
1240,Southern,Nova Scotia,12,4.1,00000,Female,58115,6885,35775,15460,2355,59675,7690,38745,13240,2225,100,11.8,61.6,26.6,4.1,100,12.9,64.9,22.2,3.7,-2.6,-10.5,-7.7,16.8,5.8
1250,Halifax,Nova Scotia,12,3.7,00000,Both sexes,403390,60535,279680,63170,7190,390330,59615,279605,51105,6655,100,15,69.3,15.7,1.8,100,15.3,71.6,13.1,1.7,3.3,1.5,0,23.6,8
1250,Halifax,Nova Scotia,12,3.7,00000,Male,195330,30920,136280,28135,2355,188700,30560,135955,22185,1980,100,15.8,69.8,14.4,1.2,100,16.2,72,11.8,1,3.5,1.2,0.2,26.8,18.9
1250,Halifax,Nova Scotia,12,3.7,00000,Female,208060,29620,143400,35040,4835,201625,29055,143650,28925,4675,100,14.2,68.9,16.8,2.3,100,14.4,71.2,14.3,2.3,3.2,1.9,-0.2,21.1,3.4
1310,Campbellton--Miramichi,New Brunswick,13,4.1,00000,Both sexes,154350,18785,98990,36575,4135,158740,20675,107845,30220,3695,100,12.2,64.1,23.7,2.7,100,13,67.9,19,2.3,-2.8,-9.1,-8.2,21,11.9
1310,Campbellton--Miramichi,New Brunswick,13,4.1,00000,Male,75900,9650,48980,17270,1405,77910,10590,53355,13965,1210,100,12.7,64.5,22.8,1.9,100,13.6,68.5,17.9,1.6,-2.6,-8.9,-8.2,23.7,16.1
1310,Campbellton--Miramichi,New Brunswick,13,4.1,00000,Female,78455,9140,50010,19305,2730,80830,10085,54490,16255,2480,100,11.6,63.7,24.6,3.5,100,12.5,67.4,20.1,3.1,-2.9,-9.4,-8.2,18.8,10.1
1320,Moncton--Richibucto,New Brunswick,13,3.9,00000,Both sexes,209255,31195,137770,40295,5000,203835,30205,140760,32870,4700,100,14.9,65.8,19.3,2.4,100,14.8,69.1,16.1,2.3,2.7,3.3,-2.1,22.6,6.4
1320,Moncton--Richibucto,New Brunswick,13,3.9,00000,Male,102555,16035,68075,18450,1680,99450,15440,69380,14630,1540,100,15.6,66.4,18,1.6,100,15.5,69.8,14.7,1.5,3.1,3.9,-1.9,26.1,9.1
1320,Moncton--Richibucto,New Brunswick,13,3.9,00000,Female,106700,15160,69690,21850,3315,104390,14765,71380,18245,3155,100,14.2,65.3,20.5,3.1,100,14.1,68.4,17.5,3,2.2,2.7,-2.4,19.8,5.1
1330,Saint John--St. Stephen,New Brunswick,13,3.5,00000,Both sexes,168390,26785,109800,31805,3950,172765,28120,117490,27160,3820,100,15.9,65.2,18.9,2.3,100,16.3,68,15.7,2.2,-2.5,-4.7,-6.5,17.1,3.4
1330,Saint John--St. Stephen,New Brunswick,13,3.5,00000,Male,81390,13535,53525,14325,1240,83405,14300,57295,11815,1135,100,16.6,65.8,17.6,1.5,100,17.1,68.7,14.2,1.4,-2.4,-5.3,-6.6,21.2,9.3
1330,Saint John--St. Stephen,New Brunswick,13,3.5,00000,Female,87000,13245,56280,17480,2710,89360,13825,60195,15340,2680,100,15.2,64.7,20.1,3.1,100,15.5,67.4,17.2,3,-2.6,-4.2,-6.5,14,1.1
1340,Fredericton--Oromocto,New Brunswick,13,3.9,00000,Both sexes,137525,22355,91375,23790,2615,135465,22315,93325,19830,2460,100,16.3,66.4,17.3,1.9,100,16.5,68.9,14.6,1.8,1.5,0.2,-2.1,20,6.3
1340,Fredericton--Oromocto,New Brunswick,13,3.9,00000,Male,67660,11330,45360,10975,880,66420,11315,46200,8905,790,100,16.7,67,16.2,1.3,100,17,69.6,13.4,1.2,1.9,0.1,-1.8,23.2,11.4
1340,Fredericton--Oromocto,New Brunswick,13,3.9,00000,Female,69865,11025,46020,12820,1740,69045,11000,47125,10920,1670,100,15.8,65.9,18.3,2.5,100,15.9,68.3,15.8,2.4,1.2,0.2,-2.3,17.4,4.2
1350,Edmundston--Woodstock,New Brunswick,13,3.9,00000,Both sexes,77580,11375,49880,16320,1915,80360,12265,54545,13550,1800,100,14.7,64.3,21,2.5,100,15.3,67.9,16.9,2.2,-3.5,-7.3,-8.6,20.4,6.4
1350,Edmundston--Woodstock,New Brunswick,13,3.9,00000,Male,37850,5770,24595,7490,650,39250,6305,26990,5950,560,100,15.2,65,19.8,1.7,100,16.1,68.8,15.2,1.4,-3.6,-8.5,-8.9,25.9,16.1
1350,Edmundston--Woodstock,New Brunswick,13,3.9,00000,Female,39725,5605,25285,8835,1265,41110,5960,27555,7595,1235,100,14.1,63.7,22.2,3.2,100,14.5,67,18.5,3,-3.4,-6,-8.2,16.3,2.4
2410,Gaspésie--Îles-de-la-Madeleine,Quebec,24,4.2,00000,Both sexes,90310,11250,56375,22680,2640,94075,12050,62720,19310,2400,100,12.5,62.4,25.1,2.9,100,12.8,66.7,20.5,2.6,-4,-6.6,-10.1,17.5,10
2410,Gaspésie--Îles-de-la-Madeleine,Quebec,24,4.2,00000,Male,44185,5740,27930,10520,900,45960,6175,31035,8745,825,100,13,63.2,23.8,2,100,13.4,67.5,19,1.8,-3.9,-7,-10,20.3,9.1
2410,Gaspésie--Îles-de-la-Madeleine,Quebec,24,4.2,00000,Female,46125,5510,28450,12165,1735,48120,5875,31680,10565,1575,100,11.9,61.7,26.4,3.8,100,12.2,65.8,22,3.3,-4.1,-6.2,-10.2,15.1,10.2
2415,Bas-Saint-Laurent,Quebec,24,4.1,00000,Both sexes,197385,28460,122185,46740,6185,199975,28015,132475,39485,5335,100,14.4,61.9,23.7,3.1,100,14,66.2,19.7,2.7,-1.3,1.6,-7.8,18.4,15.9
2415,Bas-Saint-Laurent,Quebec,24,4.1,00000,Male,97500,14725,61220,21555,2060,98385,14480,66330,17585,1625,100,15.1,62.8,22.1,2.1,100,14.7,67.4,17.9,1.7,-0.9,1.7,-7.7,22.6,26.8
2415,Bas-Saint-Laurent,Quebec,24,4.1,00000,Female,99885,13735,60970,25185,4125,101590,13540,66150,21905,3715,100,13.8,61,25.2,4.1,100,13.3,65.1,21.6,3.7,-1.7,1.4,-7.8,15,11
2420,Capitale-Nationale,Quebec,24,4.1,00000,Both sexes,730000,109630,473630,146740,18910,700615,98000,479170,123450,16110,100,15,64.9,20.1,2.6,100,14,68.4,17.6,2.3,4.2,11.9,-1.2,18.9,17.4
2420,Capitale-Nationale,Quebec,24,4.1,00000,Male,357205,55875,237350,63980,5865,340875,49985,239145,51750,4395,100,15.6,66.4,17.9,1.6,100,14.7,70.2,15.2,1.3,4.8,11.8,-0.8,23.6,33.4
2420,Capitale-Nationale,Quebec,24,4.1,00000,Female,372790,53750,236280,82765,13045,359735,48015,240025,71700,11715,100,14.4,63.4,22.2,3.5,100,13.3,66.7,19.9,3.3,3.6,11.9,-1.6,15.4,11.4
2425,Chaudière-Appalaches,Quebec,24,3.7,00000,Both sexes,420085,70260,265350,84475,10295,410830,66735,275410,68690,8575,100,16.7,63.2,20.1,2.5,100,16.2,67,16.7,2.1,2.3,5.3,-3.7,23,20.1
2425,Chaudière-Appalaches,Quebec,24,3.7,00000,Male,209945,36065,134805,39075,3365,204340,34130,139465,30745,2680,100,17.2,64.2,18.6,1.6,100,16.7,68.3,15,1.3,2.7,5.7,-3.3,27.1,25.6
2425,Chaudière-Appalaches,Quebec,24,3.7,00000,Female,210135,34190,130540,45400,6925,206490,32610,135945,37940,5890,100,16.3,62.1,21.6,3.3,100,15.8,65.8,18.4,2.9,1.8,4.8,-4,19.7,17.6
2430,Estrie,Quebec,24,4.1,00000,Both sexes,319005,51140,201765,66105,8330,310735,49100,207010,54625,7145,100,16,63.2,20.7,2.6,100,15.8,66.6,17.6,2.3,2.7,4.2,-2.5,21,16.6
2430,Estrie,Quebec,24,4.1,00000,Male,158055,26585,101120,30345,2675,153275,25475,103655,24150,2130,100,16.8,64,19.2,1.7,100,16.6,67.6,15.8,1.4,3.1,4.4,-2.4,25.7,25.6
2430,Estrie,Quebec,24,4.1,00000,Female,160950,24555,100645,35760,5650,157455,23625,103355,30475,5015,100,15.3,62.5,22.2,3.5,100,15,65.6,19.4,3.2,2.2,3.9,-2.6,17.3,12.7
2433,Centre-du-Québec,Quebec,24,4.2,00000,Both sexes,242400,40255,152340,49800,6120,234160,38240,154940,40985,5340,100,16.6,62.8,20.5,2.5,100,16.3,66.2,17.5,2.3,3.5,5.3,-1.7,21.5,14.6
2433,Centre-du-Québec,Quebec,24,4.2,00000,Male,120975,20645,77465,22860,1990,116455,19665,78715,18075,1575,100,17.1,64,18.9,1.6,100,16.9,67.6,15.5,1.4,3.9,5,-1.6,26.5,26.3
2433,Centre-du-Québec,Quebec,24,4.2,00000,Female,121425,19605,74875,26945,4130,117710,18575,76225,22910,3765,100,16.1,61.7,22.2,3.4,100,15.8,64.8,19.5,3.2,3.2,5.5,-1.8,17.6,9.7
2435,Montérégie,Quebec,24,3.2,20000,Both sexes,1507070,258820,977475,270775,30150,1442430,242775,981515,218140,23365,100,17.2,64.9,18,2,100,16.8,68,15.1,1.6,4.5,6.6,-0.4,24.1,29
2435,Montérégie,Quebec,24,3.2,20000,Male,741455,132555,486190,122705,10015,708170,123790,487110,97270,6925,100,17.9,65.6,16.5,1.4,100,17.5,68.8,13.7,1,4.7,7.1,-0.2,26.1,44.6
2435,Montérégie,Quebec,24,3.2,20000,Female,765615,126265,491280,148065,20135,734265,118990,494405,120865,16440,100,16.5,64.2,19.3,2.6,100,16.2,67.3,16.5,2.2,4.3,6.1,-0.6,22.5,22.5
2440,Montréal,Quebec,24,3.8,00000,Both sexes,1942045,304470,1313915,323655,52100,1886480,287640,1303545,295300,44205,100,15.7,67.7,16.7,2.7,100,15.2,69.1,15.7,2.3,2.9,5.9,0.8,9.6,17.9
2440,Montréal,Quebec,24,3.8,00000,Male,944485,155320,653520,135650,16660,913165,146420,646805,119940,13045,100,16.4,69.2,14.4,1.8,100,16,70.8,13.1,1.4,3.4,6.1,1,13.1,27.7
2440,Montréal,Quebec,24,3.8,00000,Female,997560,149150,660395,188010,35440,973320,141215,656740,175360,31165,100,15,66.2,18.8,3.6,100,14.5,67.5,18,3.2,2.5,5.6,0.6,7.2,13.7
2445,Laval,Quebec,24,2.9,00000,Both sexes,422995,73485,276920,72590,10385,401555,69305,269660,62590,7180,100,17.4,65.5,17.2,2.5,100,17.3,67.2,15.6,1.8,5.3,6,2.7,16,44.6
2445,Laval,Quebec,24,2.9,00000,Male,205510,37450,136295,31765,3595,194885,35295,132630,26960,2265,100,18.2,66.3,15.5,1.7,100,18.1,68.1,13.8,1.2,5.5,6.1,2.8,17.8,58.7
2445,Laval,Quebec,24,2.9,00000,Female,217485,36030,140630,40825,6790,206665,34005,137030,35625,4920,100,16.6,64.7,18.8,3.1,100,16.5,66.3,17.2,2.4,5.2,6,2.6,14.6,38
2450,Lanaudière,Quebec,24,3.0,00000,Both sexes,494800,86340,323945,84510,8035,471750,80435,324695,66620,6240,100,17.4,65.5,17.1,1.6,100,17.1,68.8,14.1,1.3,4.9,7.3,-0.2,26.9,28.8
2450,Lanaudière,Quebec,24,3.0,00000,Male,245315,44270,161550,39495,2715,234010,41185,162040,30785,1870,100,18,65.9,16.1,1.1,100,17.6,69.2,13.2,0.8,4.8,7.5,-0.3,28.3,45.2
2450,Lanaudière,Quebec,24,3.0,00000,Female,249480,42070,162390,45015,5320,237740,39250,162650,35840,4370,100,16.9,65.1,18,2.1,100,16.5,68.4,15.1,1.8,4.9,7.2,-0.2,25.6,21.7
2455,Laurentides,Quebec,24,3.3,20000,Both sexes,589400,98990,387630,102785,9740,559700,94790,384070,80840,7370,100,16.8,65.8,17.4,1.7,100,16.9,68.6,14.4,1.3,5.3,4.4,0.9,27.1,32.2
2455,Laurentides,Quebec,24,3.3,20000,Male,292055,50800,192970,48285,3395,277170,48210,191450,37515,2330,100,17.4,66.1,16.5,1.2,100,17.4,69.1,13.5,0.8,5.4,5.4,0.8,28.7,45.7
2455,Laurentides,Quebec,24,3.3,20000,Female,297345,48190,194660,54495,6345,282535,46585,192620,43330,5035,100,16.2,65.5,18.3,2.1,100,16.5,68.2,15.3,1.8,5.2,3.4,1.1,25.8,26
2460,Outaouais,Quebec,24,3.6,20000,Both sexes,382605,67900,256390,58310,5920,369170,63170,258805,47190,4765,100,17.7,67,15.2,1.5,100,17.1,70.1,12.8,1.3,3.6,7.5,-0.9,23.6,24.2
2460,Outaouais,Quebec,24,3.6,20000,Male,188195,34730,126600,26870,1910,181180,32295,127795,21095,1390,100,18.5,67.3,14.3,1,100,17.8,70.5,11.6,0.8,3.9,7.5,-0.9,27.4,37.4
2460,Outaouais,Quebec,24,3.6,20000,Female,194410,33175,129790,31445,4010,187990,30880,131015,26095,3375,100,17.1,66.8,16.2,2.1,100,16.4,69.7,13.9,1.8,3.4,7.4,-0.9,20.5,18.8
2465,Abitibi-Témiscamingue,Quebec,24,4.5,00000,Both sexes,146720,25110,95690,25920,2890,145690,24745,99120,21825,2335,100,17.1,65.2,17.7,2,100,17,68,15,1.6,0.7,1.5,-3.5,18.8,23.8
2465,Abitibi-Témiscamingue,Quebec,24,4.5,00000,Male,73900,12850,48890,12160,970,73135,12705,50475,9950,815,100,17.4,66.2,16.5,1.3,100,17.4,69,13.6,1.1,1,1.1,-3.1,22.2,19
2465,Abitibi-Témiscamingue,Quebec,24,4.5,00000,Female,72820,12260,46800,13760,1925,72555,12035,48645,11870,1525,100,16.8,64.3,18.9,2.6,100,16.6,67,16.4,2.1,0.4,1.9,-3.8,15.9,26.2
2470,Mauricie,Quebec,24,4.3,00000,Both sexes,266110,36850,166415,62855,8505,263600,34960,174600,54040,7025,100,13.8,62.5,23.6,3.2,100,13.3,66.2,20.5,2.7,1,5.4,-4.7,16.3,21.1
2470,Mauricie,Quebec,24,4.3,00000,Male,130575,19080,83260,28235,2745,128875,18005,87590,23280,1975,100,14.6,63.8,21.6,2.1,100,14,68,18.1,1.5,1.3,6,-4.9,21.3,39
2470,Mauricie,Quebec,24,4.3,00000,Female,135540,17770,83155,34615,5760,134730,16955,87010,30760,5050,100,13.1,61.4,25.5,4.2,100,12.6,64.6,22.8,3.7,0.6,4.8,-4.4,12.5,14.1
2475,Saguenay--Lac-Saint-Jean,Quebec,24,3.9,00000,Both sexes,276365,42590,176195,57575,6645,274880,40685,186005,48190,5150,100,15.4,63.8,20.8,2.4,100,14.8,67.7,17.5,1.9,0.5,4.7,-5.3,19.5,29
2475,Saguenay--Lac-Saint-Jean,Quebec,24,3.9,00000,Male,137965,21685,89700,26575,2310,136410,20625,94535,21250,1625,100,15.7,65,19.3,1.7,100,15.1,69.3,15.6,1.2,1.1,5.1,-5.1,25.1,42.2
2475,Saguenay--Lac-Saint-Jean,Quebec,24,3.9,00000,Female,138405,20905,86500,31000,4335,138470,20060,91470,26940,3520,100,15.1,62.5,22.4,3.1,100,14.5,66.1,19.5,2.5,0,4.2,-5.4,15.1,23.2
2480,Côte-Nord,Quebec,24,5.7,00000,Both sexes,92520,15445,60855,16220,1640,94765,15850,65260,13660,1250,100,16.7,65.8,17.5,1.8,100,16.7,68.9,14.4,1.3,-2.4,-2.6,-6.7,18.7,31.2
2480,Côte-Nord,Quebec,24,5.7,00000,Male,46660,7830,31045,7790,615,47840,8030,33340,6470,415,100,16.8,66.5,16.7,1.3,100,16.8,69.7,13.5,0.9,-2.5,-2.5,-6.9,20.4,48.2
2480,Côte-Nord,Quebec,24,5.7,00000,Female,45860,7610,29815,8430,1025,46925,7820,31915,7190,830,100,16.6,65,18.4,2.2,100,16.7,68,15.3,1.8,-2.3,-2.7,-6.6,17.2,23.5
