"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"1208","Hants","County","Nova Scotia","12","3.5","00000","20 to 24","2010","1835","0","175","5","100","91.3","0","8.7","0.2"
"1208","Hants","County","Nova Scotia","12","3.5","00000","25 to 44","9670","8990","0","670","5","100","93","0","6.9","0.1"
"1208","Hants","County","Nova Scotia","12","3.5","00000","45 to 64","13565","12945","0","615","5","100","95.4","0","4.5","0"
"1208","Hants","County","Nova Scotia","12","3.5","00000","65 and over","7275","7045","0","225","5","100","96.8","0","3.1","0.1"
"1208","Hants","County","Nova Scotia","12","3.5","00000","65 to 74","4570","4395","0","165","5","100","96.2","0","3.6","0.1"
"1208","Hants","County","Nova Scotia","12","3.5","00000","75 and over","2705","2645","0","60","0","100","97.8","0","2.2","0"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","Total","399575","347440","340","49585","2205","100","87","0.1","12.4","0.6"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","0 to 14","60480","50470","170","8955","890","100","83.4","0.3","14.8","1.5"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","0 to 4","19770","18480","110","645","540","100","93.5","0.6","3.3","2.7"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","5 to 9","20730","17020","45","3435","230","100","82.1","0.2","16.6","1.1"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","10 to 14","19975","14970","20","4875","115","100","74.9","0.1","24.4","0.6"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","15 to 24","52410","41510","30","10705","165","100","79.2","0.1","20.4","0.3"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","15 to 19","22280","16750","10","5430","90","100","75.2","0","24.4","0.4"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","20 to 24","30130","24755","20","5270","80","100","82.2","0.1","17.5","0.3"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","25 to 44","109605","93005","65","16115","420","100","84.9","0.1","14.7","0.4"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","45 to 64","116440","106260","50","9730","400","100","91.3","0","8.4","0.3"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","65 and over","60635","56195","25","4085","330","100","92.7","0","6.7","0.5"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","65 to 74","37640","34745","15","2735","155","100","92.3","0","7.3","0.4"
"1209","Halifax","County","Nova Scotia","12","3.7","00000","75 and over","22985","21450","10","1350","175","100","93.3","0","5.9","0.8"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","Total","50000","46915","5","3035","50","100","93.8","0","6.1","0.1"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","0 to 14","7630","6970","0","650","10","100","91.3","0","8.5","0.1"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","0 to 4","2340","2290","5","40","10","100","97.9","0.2","1.7","0.4"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","5 to 9","2690","2470","0","215","0","100","91.8","0","8","0"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","10 to 14","2605","2215","0","390","0","100","85","0","15","0"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","15 to 24","5630","4890","0","735","5","100","86.9","0","13.1","0.1"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","15 to 19","2920","2455","0","460","5","100","84.1","0","15.8","0.2"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","20 to 24","2710","2435","0","275","5","100","89.9","0","10.1","0.2"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","25 to 44","10805","10040","0","745","15","100","92.9","0","6.9","0.1"
"1210","Colchester","County","Nova Scotia","12","3.8","00000","45 to 64","15540","14925","0","605","10","100","96","0","3.9","0.1"
