"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","0 to 4","710","75","570","65","0","100","10.6","80.3","9.2","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","5 to 9","780","65","615","100","0","100","8.3","78.8","12.8","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","10 to 14","720","50","530","135","0","100","6.9","73.6","18.8","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","15 to 24","1590","115","735","735","0","100","7.2","46.2","46.2","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","15 to 19","785","70","385","335","0","100","8.9","49","42.7","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","20 to 24","800","50","350","405","0","100","6.3","43.8","50.6","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","25 to 44","3320","170","1565","1580","0","100","5.1","47.1","47.6","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","45 to 64","5790","420","3560","1805","0","100","7.3","61.5","31.2","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","65 and over","4535","450","2915","1165","0","100","9.9","64.3","25.7","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","65 to 74","2645","235","1650","760","0","100","8.9","62.4","28.7","0"
"2405","Bonaventure","Municipalité régionale de comté","Quebec","24","4.5","00000","75 and over","1890","215","1265","410","0","100","11.4","66.9","21.7","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","Total","14260","1710","8135","4415","5","100","12","57","31","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","0 to 14","2175","430","1490","250","5","100","19.8","68.5","11.5","0.2"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","0 to 4","720","160","515","45","0","100","22.2","71.5","6.3","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","5 to 9","785","165","550","65","0","100","21","70.1","8.3","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","10 to 14","670","105","420","135","0","100","15.7","62.7","20.1","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","15 to 24","1360","195","605","565","0","100","14.3","44.5","41.5","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","15 to 19","700","110","350","240","0","100","15.7","50","34.3","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","20 to 24","665","85","260","325","0","100","12.8","39.1","48.9","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","25 to 44","2910","365","1190","1355","0","100","12.5","40.9","46.6","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","45 to 64","4600","455","2690","1455","5","100","9.9","58.5","31.6","0.1"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","65 and over","3215","275","2155","785","5","100","8.6","67","24.4","0.2"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","65 to 74","1930","165","1220","550","0","100","8.5","63.2","28.5","0"
"2406","Avignon","Municipalité régionale de comté","Quebec","24","6.7","00000","75 and over","1280","110","935","235","5","100","8.6","73","18.4","0.4"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","Total","17790","10","15610","2165","0","100","0.1","87.7","12.2","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 14","2615","0","2495","120","0","100","0","95.4","4.6","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 4","800","0","795","10","0","100","0","99.4","1.3","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","5 to 9","925","0","910","15","0","100","0","98.4","1.6","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","10 to 14","885","0","790","95","0","100","0","89.3","10.7","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 24","1710","0","1205","510","0","100","0","70.5","29.8","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 19","895","0","645","250","0","100","0","72.1","27.9","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","20 to 24","820","0","555","260","0","100","0","67.7","31.7","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","25 to 44","3480","0","2730","750","0","100","0","78.4","21.6","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","45 to 64","5930","5","5405","515","0","100","0.1","91.1","8.7","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","65 and over","4055","5","3775","275","0","100","0.1","93.1","6.8","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","65 to 74","2400","5","2190","205","0","100","0.2","91.3","8.5","0"
"2407","La Matapédia","Municipalité régionale de comté","Quebec","24","3.9","00000","75 and over","1655","0","1580","70","0","100","0","95.5","4.2","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","Total","21035","10","17520","3500","5","100","0","83.3","16.6","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","0 to 14","2730","0","2605","125","0","100","0","95.4","4.6","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","0 to 4","875","0","865","10","0","100","0","98.9","1.1","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","5 to 9","960","0","935","25","0","100","0","97.4","2.6","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","10 to 14","890","0","800","90","0","100","0","89.9","10.1","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","15 to 24","1865","5","1170","685","0","100","0.3","62.7","36.7","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","15 to 19","900","5","585","320","0","100","0.6","65","35.6","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","20 to 24","960","0","585","370","0","100","0","60.9","38.5","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","25 to 44","4100","5","2890","1205","5","100","0.1","70.5","29.4","0.1"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","45 to 64","6945","0","5985","950","0","100","0","86.2","13.7","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","65 and over","5405","0","4870","535","0","100","0","90.1","9.9","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","65 to 74","3310","0","2910","400","0","100","0","87.9","12.1","0"
"2408","Matane","Municipalité régionale de comté","Quebec","24","4.6","00000","75 and over","2095","0","1960","130","0","100","0","93.6","6.2","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","Total","17920","20","15165","2730","0","100","0.1","84.6","15.2","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 14","2855","5","2730","120","0","100","0.2","95.6","4.2","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 4","1000","0","985","20","0","100","0","98.5","2","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","5 to 9","960","0","925","35","0","100","0","96.4","3.6","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","10 to 14","895","0","825","70","0","100","0","92.2","7.8","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 24","1645","5","1195","445","0","100","0.3","72.6","27.1","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 19","870","0","655","210","0","100","0","75.3","24.1","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","20 to 24","780","0","540","230","0","100","0","69.2","29.5","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","25 to 44","3630","0","2700","925","0","100","0","74.4","25.5","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","45 to 64","5745","0","4930","810","0","100","0","85.8","14.1","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","65 and over","4045","10","3605","435","0","100","0.2","89.1","10.8","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","65 to 74","2480","10","2160","310","0","100","0.4","87.1","12.5","0"
"2409","La Mitis","Municipalité régionale de comté","Quebec","24","3.9","00000","75 and over","1565","5","1445","125","0","100","0.3","92.3","8","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","Total","55950","30","42645","13255","20","100","0.1","76.2","23.7","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","0 to 14","8140","0","7760","370","5","100","0","95.3","4.5","0.1"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","0 to 4","2720","5","2655","55","10","100","0.2","97.6","2","0.4"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","5 to 9","2895","0","2830","60","0","100","0","97.8","2.1","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","10 to 14","2525","0","2270","255","0","100","0","89.9","10.1","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","15 to 24","6090","0","3435","2650","0","100","0","56.4","43.5","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","15 to 19","2770","5","1685","1085","0","100","0.2","60.8","39.2","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","20 to 24","3315","5","1750","1565","0","100","0.2","52.8","47.2","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","25 to 44","12730","5","7440","5275","5","100","0","58.4","41.4","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","45 to 64","17030","15","13700","3305","10","100","0.1","80.4","19.4","0.1"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","65 and over","11970","0","10305","1655","0","100","0","86.1","13.8","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","65 to 74","7125","0","5955","1165","0","100","0","83.6","16.4","0"
"2410","Rimouski-Neigette","Municipalité régionale de comté","Quebec","24","4.0","00000","75 and over","4845","0","4355","490","0","100","0","89.9","10.1","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","Total","8580","5","7295","1285","0","100","0.1","85","15","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","0 to 14","1070","0","1015","50","0","100","0","94.9","4.7","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","0 to 4","345","0","335","5","0","100","0","97.1","1.4","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","5 to 9","355","0","350","5","0","100","0","98.6","1.4","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","10 to 14","370","0","335","35","0","100","0","90.5","9.5","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","15 to 24","650","0","440","210","0","100","0","67.7","32.3","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","15 to 19","345","0","240","105","0","100","0","69.6","30.4","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","20 to 24","300","0","200","105","0","100","0","66.7","35","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","25 to 44","1400","0","1005","390","0","100","0","71.8","27.9","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","45 to 64","2890","0","2490","400","0","100","0","86.2","13.8","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","65 and over","2570","0","2335","230","0","100","0","90.9","8.9","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","65 to 74","1475","0","1300","170","0","100","0","88.1","11.5","0"
"2411","Les Basques","Municipalité régionale de comté","Quebec","24","4.7","00000","75 and over","1090","0","1035","60","0","100","0","95","5.5","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","Total","33555","40","26830","6680","10","100","0.1","80","19.9","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 14","5280","0","5050","225","5","100","0","95.6","4.3","0.1"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 4","1720","5","1695","20","5","100","0.3","98.5","1.2","0.3"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","5 to 9","1935","0","1900","35","0","100","0","98.2","1.8","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","10 to 14","1625","5","1460","165","0","100","0.3","89.8","10.2","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 24","3335","5","1890","1440","0","100","0.1","56.7","43.2","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 19","1645","0","965","675","0","100","0","58.7","41","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","20 to 24","1690","0","920","770","0","100","0","54.4","45.6","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","25 to 44","7720","20","5005","2700","0","100","0.3","64.8","35","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","45 to 64","10035","5","8465","1560","5","100","0","84.4","15.5","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","65 and over","7190","10","6420","755","0","100","0.1","89.3","10.5","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","65 to 74","4245","5","3710","530","0","100","0.1","87.4","12.5","0"
"2412","Rivière-du-Loup","Municipalité régionale de comté","Quebec","24","3.9","00000","75 and over","2945","10","2710","225","0","100","0.3","92","7.6","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","Total","19220","10","16465","2740","5","100","0.1","85.7","14.3","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","0 to 14","2650","0","2575","75","0","100","0","97.2","2.8","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","0 to 4","760","0","750","10","0","100","0","98.7","1.3","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","5 to 9","925","0","920","10","0","100","0","99.5","1.1","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","10 to 14","965","0","910","55","0","100","0","94.3","5.7","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","15 to 24","1730","0","1245","480","0","100","0","72","27.7","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","15 to 19","945","0","705","240","0","100","0","74.6","25.4","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","20 to 24","785","0","540","245","0","100","0","68.8","31.2","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","25 to 44","3560","0","2730","825","0","100","0","76.7","23.2","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","45 to 64","6625","0","5735","880","0","100","0","86.6","13.3","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","65 and over","4660","5","4180","475","0","100","0.1","89.7","10.2","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","65 to 74","2875","5","2515","360","0","100","0.2","87.5","12.5","0"
"2413","Témiscouata","Municipalité régionale de comté","Quebec","24","4.0","00000","75 and over","1780","0","1660","115","0","100","0","93.3","6.5","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","Total","20660","30","17205","3425","5","100","0.1","83.3","16.6","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","0 to 14","3090","0","2980","115","0","100","0","96.4","3.7","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","0 to 4","940","0","935","5","0","100","0","99.5","0.5","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","5 to 9","1110","0","1105","5","0","100","0","99.5","0.5","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","10 to 14","1045","0","945","100","0","100","0","90.4","9.6","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","15 to 24","1930","0","1215","715","0","100","0","63","37","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","15 to 19","1030","0","705","325","0","100","0","68.4","31.6","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","20 to 24","900","0","515","390","0","100","0","57.2","43.3","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","25 to 44","4180","20","2870","1285","5","100","0.5","68.7","30.7","0.1"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","45 to 64","6545","5","5640","905","0","100","0.1","86.2","13.8","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","65 and over","4910","0","4500","405","0","100","0","91.6","8.2","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","65 to 74","2920","0","2610","310","0","100","0","89.4","10.6","0"
"2414","Kamouraska","Municipalité régionale de comté","Quebec","24","4.3","00000","75 and over","1995","5","1895","100","0","100","0.3","95","5","0"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","Total","15295","15","12810","2455","15","100","0.1","83.8","16.1","0.1"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","0 to 14","2125","5","2065","60","0","100","0.2","97.2","2.8","0"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","0 to 4","730","0","715","15","0","100","0","97.9","2.1","0"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","5 to 9","745","5","735","10","0","100","0.7","98.7","1.3","0"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","10 to 14","650","0","610","35","0","100","0","93.8","5.4","0"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","15 to 24","1340","0","955","380","5","100","0","71.3","28.4","0.4"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","15 to 19","695","0","525","170","0","100","0","75.5","24.5","0"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","20 to 24","640","0","430","205","5","100","0","67.2","32","0.8"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","25 to 44","3035","0","2180","845","5","100","0","71.8","27.8","0.2"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","45 to 64","4995","5","4250","735","5","100","0.1","85.1","14.7","0.1"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","65 and over","3800","5","3360","430","5","100","0.1","88.4","11.3","0.1"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","65 to 74","2300","0","1990","305","5","100","0","86.5","13.3","0.2"
"2415","Charlevoix-Est","Municipalité régionale de comté","Quebec","24","3.6","00000","75 and over","1500","5","1370","125","0","100","0.3","91.3","8.3","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","Total","12815","10","10395","2405","5","100","0.1","81.1","18.8","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 14","1720","0","1625","95","5","100","0","94.5","5.5","0.3"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 4","550","0","535","10","0","100","0","97.3","1.8","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","5 to 9","635","0","620","10","5","100","0","97.6","1.6","0.8"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","10 to 14","540","0","470","75","0","100","0","87","13.9","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 24","1070","0","695","375","0","100","0","65","35","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 19","500","0","345","155","0","100","0","69","31","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","20 to 24","570","0","350","220","0","100","0","61.4","38.6","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","25 to 44","2440","0","1655","775","5","100","0","67.8","31.8","0.2"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","45 to 64","4135","5","3395","730","5","100","0.1","82.1","17.7","0.1"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","65 and over","3450","0","3015","430","0","100","0","87.4","12.5","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","65 to 74","2070","0","1740","325","0","100","0","84.1","15.7","0"
"2416","Charlevoix","Municipalité régionale de comté","Quebec","24","3.9","00000","75 and over","1380","5","1275","105","0","100","0.4","92.4","7.6","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","Total","17495","5","14880","2605","5","100","0","85.1","14.9","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","0 to 14","2490","0","2415","70","0","100","0","97","2.8","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","0 to 4","800","0","795","5","5","100","0","99.4","0.6","0.6"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","5 to 9","880","0","870","10","0","100","0","98.9","1.1","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","10 to 14","805","0","750","50","0","100","0","93.2","6.2","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","15 to 24","1555","0","1055","495","0","100","0","67.8","31.8","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","15 to 19","785","0","560","220","0","100","0","71.3","28","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","20 to 24","770","0","495","275","0","100","0","64.3","35.7","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","25 to 44","3235","0","2435","805","0","100","0","75.3","24.9","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","45 to 64","5940","5","5120","820","0","100","0.1","86.2","13.8","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","65 and over","4280","5","3860","410","0","100","0.1","90.2","9.6","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","65 to 74","2600","0","2275","325","0","100","0","87.5","12.5","0"
"2417","L'Islet","Municipalité régionale de comté","Quebec","24","3.3","00000","75 and over","1675","5","1585","90","0","100","0.3","94.6","5.4","0"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","Total","22470","15","18620","3800","30","100","0.1","82.9","16.9","0.1"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 14","3055","0","2915","140","0","100","0","95.4","4.6","0"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 4","945","5","935","5","0","100","0.5","98.9","0.5","0"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","5 to 9","1020","0","1010","15","0","100","0","99","1.5","0"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","10 to 14","1085","0","970","115","0","100","0","89.4","10.6","0"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 24","2160","0","1380","775","5","100","0","63.9","35.9","0.2"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","15 to 19","1090","0","735","355","0","100","0","67.4","32.6","0"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","20 to 24","1065","0","645","420","5","100","0","60.6","39.4","0.5"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","25 to 44","4375","5","3125","1235","10","100","0.1","71.4","28.2","0.2"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","45 to 64","7180","5","6100","1065","5","100","0.1","85","14.8","0.1"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","65 and over","5700","5","5100","580","15","100","0.1","89.5","10.2","0.3"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","65 to 74","3335","5","2910","420","0","100","0.1","87.3","12.6","0"
"2418","Montmagny","Municipalité régionale de comté","Quebec","24","3.9","00000","75 and over","2360","0","2190","160","15","100","0","92.8","6.8","0.6"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","Total","36745","25","29245","7460","20","100","0.1","79.6","20.3","0.1"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","0 to 14","6385","0","6045","335","5","100","0","94.7","5.2","0.1"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","0 to 4","2325","0","2300","25","0","100","0","98.9","1.1","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","5 to 9","2200","0","2140","55","0","100","0","97.3","2.5","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","10 to 14","1855","0","1610","245","0","100","0","86.8","13.2","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","15 to 24","3685","0","2300","1380","0","100","0","62.4","37.4","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","15 to 19","1830","0","1160","670","0","100","0","63.4","36.6","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","20 to 24","1855","0","1145","715","0","100","0","61.7","38.5","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","25 to 44","8625","5","5625","2985","10","100","0.1","65.2","34.6","0.1"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","45 to 64","10655","15","8725","1920","0","100","0.1","81.9","18","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","65 and over","7395","5","6550","845","0","100","0.1","88.6","11.4","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","65 to 74","4440","0","3795","635","0","100","0","85.5","14.3","0"
"2419","Bellechasse","Municipalité régionale de comté","Quebec","24","4.1","00000","75 and over","2960","0","2750","210","0","100","0","92.9","7.1","0"
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24","3.9","00000","Total","7020","5","4660","2345","5","100","0.1","66.4","33.4","0.1"
"2420","L'Île-d'Orléans","Municipalité régionale de comté","Quebec","24","3.9","00000","0 to 14","970","0","850","120","5","100","0","87.6","12.4","0.5"
