"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","25 to 44","109605","93005","65","16115","420","100","84.9","0.1","14.7","0.4"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","45 to 64","116445","106260","50","9725","400","100","91.3","0","8.4","0.3"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","65 and over","60635","56195","20","4085","330","100","92.7","0","6.7","0.5"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","65 to 74","37645","34745","15","2735","155","100","92.3","0","7.3","0.4"
"205","Halifax","CMA","Nova Scotia","12"," ","3.7","00000","75 and over","22990","21450","15","1350","175","100","93.3","0.1","5.9","0.8"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","Total","26000","24065","5","1905","25","100","92.6","0","7.3","0.1"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","0 to 14","3990","3570","0","410","10","100","89.5","0","10.3","0.3"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","0 to 4","1200","1190","0","5","5","100","99.2","0","0.4","0.4"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","5 to 9","1345","1185","0","155","5","100","88.1","0","11.5","0.4"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","10 to 14","1440","1185","0","245","0","100","82.3","0","17","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","15 to 24","2990","2565","0","425","0","100","85.8","0","14.2","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","15 to 19","1560","1300","0","260","0","100","83.3","0","16.7","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","20 to 24","1430","1270","0","160","0","100","88.8","0","11.2","0"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","25 to 44","5610","5140","0","465","5","100","91.6","0","8.3","0.1"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","45 to 64","8180","7765","5","410","5","100","94.9","0.1","5","0.1"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","65 and over","5230","5020","0","200","10","100","96","0","3.8","0.2"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","65 to 74","3150","3010","0","135","5","100","95.6","0","4.3","0.2"
"210","Kentville","CA","Nova Scotia","12"," ","3.3","00000","75 and over","2085","2010","0","65","5","100","96.4","0","3.1","0.2"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","Total","45165","42280","5","2845","40","100","93.6","0","6.3","0.1"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","0 to 14","6945","6310","0","620","10","100","90.9","0","8.9","0.1"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","0 to 4","2105","2060","5","35","5","100","97.9","0.2","1.7","0.2"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","5 to 9","2450","2240","0","205","0","100","91.4","0","8.4","0"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","10 to 14","2390","2005","0","380","0","100","83.9","0","15.9","0"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","15 to 24","5130","4420","0","705","5","100","86.2","0","13.7","0.1"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","15 to 19","2640","2195","0","445","5","100","83.1","0","16.9","0.2"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","20 to 24","2490","2225","0","260","0","100","89.4","0","10.4","0"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","25 to 44","9850","9145","0","690","15","100","92.8","0","7","0.2"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","45 to 64","13950","13395","0","545","5","100","96","0","3.9","0"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","65 and over","9300","9020","0","275","5","100","97","0","3","0.1"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","65 to 74","5515","5330","0","175","5","100","96.6","0","3.2","0.1"
"215","Truro","CA","Nova Scotia","12"," ","3.8","00000","75 and over","3785","3685","0","100","5","100","97.4","0","2.6","0.1"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","Total","33815","32275","5","1495","35","100","95.4","0","4.4","0.1"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","0 to 14","5240","4980","0","250","10","100","95","0","4.8","0.2"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","0 to 4","1595","1580","0","10","5","100","99.1","0","0.6","0.3"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","5 to 9","1845","1810","0","30","5","100","98.1","0","1.6","0.3"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","10 to 14","1800","1595","0","200","0","100","88.6","0","11.1","0"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","15 to 24","3575","3155","0","410","10","100","88.3","0","11.5","0.3"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","15 to 19","1945","1705","0","240","0","100","87.7","0","12.3","0"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","20 to 24","1625","1450","0","170","5","100","89.2","0","10.5","0.3"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","25 to 44","7275","6895","5","375","10","100","94.8","0.1","5.2","0.1"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","45 to 64","10660","10360","5","290","10","100","97.2","0","2.7","0.1"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","65 and over","7065","6890","5","175","5","100","97.5","0.1","2.5","0.1"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","65 to 74","4350","4235","0","110","5","100","97.4","0","2.5","0.1"
"220","New Glasgow","CA","Nova Scotia","12"," ","4.0","00000","75 and over","2725","2650","0","65","5","100","97.2","0","2.4","0.2"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","Total","97250","93215","20","3945","70","100","95.9","0","4.1","0.1"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","0 to 14","13775","13125","5","615","25","100","95.3","0","4.5","0.2"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","0 to 4","4180","4110","5","45","20","100","98.3","0.1","1.1","0.5"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","5 to 9","4740","4600","5","130","10","100","97","0.1","2.7","0.2"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","10 to 14","4855","4410","0","440","5","100","90.8","0","9.1","0.1"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","15 to 24","11005","9800","0","1190","10","100","89.1","0","10.8","0.1"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","15 to 19","5400","4700","0","695","5","100","87","0","12.9","0.1"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","20 to 24","5605","5100","0","495","10","100","91","0","8.8","0.2"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","25 to 44","19770","18825","5","925","15","100","95.2","0","4.7","0.1"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","45 to 64","31235","30495","5","730","5","100","97.6","0","2.3","0"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","65 and over","21470","20975","0","485","15","100","97.7","0","2.3","0.1"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","65 to 74","12800","12475","0","310","10","100","97.5","0","2.4","0.1"
"225","Cape Breton","CA","Nova Scotia","12"," ","3.9","00000","75 and over","8675","8490","0","175","0","100","97.9","0","2","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","Total","2605","1045","585","980","0","100","40.1","22.5","37.6","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","0 to 14","515","255","145","110","0","100","49.5","28.2","21.4","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","0 to 4","155","90","55","15","0","100","58.1","35.5","9.7","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","5 to 9","190","105","55","40","0","100","55.3","28.9","21.1","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","10 to 14","165","70","35","60","0","100","42.4","21.2","36.4","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","15 to 24","270","105","30","130","0","100","38.9","11.1","48.1","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","15 to 19","150","65","15","70","0","100","43.3","10","46.7","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","20 to 24","125","40","20","60","0","100","32","16","48","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","25 to 44","605","220","80","310","0","100","36.4","13.2","51.2","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","45 to 64","790","305","195","295","0","100","38.6","24.7","37.3","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","65 and over","420","160","135","125","0","100","38.1","32.1","29.8","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","65 to 74","270","90","80","95","0","100","33.3","29.6","35.2","0"
"24330","Campbellton (Quebec part)","CA","Quebec","24","13","13.9","01000","75 and over","155","65","55","30","0","100","41.9","35.5","19.4","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","Total","1710","80","640","995","0","100","4.7","37.4","58.2","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","0 to 14","305","15","215","70","0","100","4.9","70.5","23","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","0 to 4","90","5","70","10","0","100","5.6","77.8","11.1","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","5 to 9","120","5","100","20","0","100","4.2","83.3","16.7","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","10 to 14","85","0","50","35","0","100","0","58.8","41.2","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","15 to 24","200","5","60","135","0","100","2.5","30","67.5","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","15 to 19","95","0","35","60","0","100","0","36.8","63.2","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","20 to 24","105","5","30","75","0","100","4.8","28.6","71.4","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","25 to 44","395","15","85","295","0","100","3.8","21.5","74.7","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","45 to 64","480","15","165","300","0","100","3.1","34.4","62.5","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","65 and over","335","30","115","195","0","100","9","34.3","58.2","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","65 to 74","230","15","75","135","0","100","6.5","32.6","58.7","0"
"24502","Hawkesbury (Quebec part)","CA","Quebec","24","35","2.9","00000","75 and over","105","10","35","55","0","100","9.5","33.3","52.4","0"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","Total","328940","24905","93325","208905","1800","100","7.6","28.4","63.5","0.5"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","0 to 14","61190","4100","37915","18455","715","100","6.7","62","30.2","1.2"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","0 to 4","20425","1955","14140","3725","595","100","9.6","69.2","18.2","2.9"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","5 to 9","21695","1275","14185","6150","80","100","5.9","65.4","28.3","0.4"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","10 to 14","19075","870","9590","8575","40","100","4.6","50.3","45","0.2"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","15 to 24","39625","2245","8665","28655","65","100","5.7","21.9","72.3","0.2"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","15 to 19","18705","840","4835","13015","20","100","4.5","25.8","69.6","0.1"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","20 to 24","20920","1405","3825","15640","45","100","6.7","18.3","74.8","0.2"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","25 to 44","88710","7300","13675","67550","185","100","8.2","15.4","76.1","0.2"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","45 to 64","95955","7630","20255","67720","350","100","8","21.1","70.6","0.4"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","65 and over","43460","3630","12820","26515","495","100","8.4","29.5","61","1.1"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","65 to 74","28090","2255","7295","18300","240","100","8","26","65.1","0.9"
"24505","Ottawa - Gatineau (Quebec part)","CMA","Quebec","24","35","3.3","00000","75 and over","15370","1380","5520","8215","250","100","9","35.9","53.4","1.6"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","Total","142330","70390","4565","66765","605","100","49.5","3.2","46.9","0.4"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","0 to 14","22705","11020","2775","8620","285","100","48.5","12.2","38","1.3"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","0 to 4","7190","4150","1445","1450","150","100","57.7","20.1","20.2","2.1"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","5 to 9","7960","4230","1010","2620","105","100","53.1","12.7","32.9","1.3"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","10 to 14","7555","2640","315","4560","35","100","34.9","4.2","60.4","0.5"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","15 to 24","16585","6615","295","9640","30","100","39.9","1.8","58.1","0.2"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","15 to 19","7700","2990","100","4600","15","100","38.8","1.3","59.7","0.2"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","20 to 24","8880","3625","195","5045","15","100","40.8","2.2","56.8","0.2"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","25 to 44","38610","16780","550","21125","150","100","43.5","1.4","54.7","0.4"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","45 to 64","40610","22300","485","17740","90","100","54.9","1.2","43.7","0.2"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","65 and over","23825","13670","465","9645","45","100","57.4","2","40.5","0.2"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","65 to 74","14475","8235","210","6010","25","100","56.9","1.5","41.5","0.2"
"305","Moncton","CMA","New Brunswick","13"," ","3.9","00000","75 and over","9345","5435","250","3635","15","100","58.2","2.7","38.9","0.2"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","Total","124515","104830","150","18830","705","100","84.2","0.1","15.1","0.6"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","0 to 14","20280","16575","90","3305","315","100","81.7","0.4","16.3","1.6"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","0 to 4","6240","5815","35","230","160","100","93.2","0.6","3.7","2.6"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","5 to 9","7060","6235","35","675","110","100","88.3","0.5","9.6","1.6"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","10 to 14","6980","4520","15","2405","40","100","64.8","0.2","34.5","0.6"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","15 to 24","14605","9735","15","4800","55","100","66.7","0.1","32.9","0.4"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","15 to 19","7365","4530","10","2800","30","100","61.5","0.1","38","0.4"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","20 to 24","7240","5215","0","2005","25","100","72","0","27.7","0.3"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","25 to 44","29990","24390","15","5395","190","100","81.3","0.1","18","0.6"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","45 to 64","37880","34290","15","3460","115","100","90.5","0","9.1","0.3"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","65 and over","21755","19835","15","1865","40","100","91.2","0.1","8.6","0.2"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","65 to 74","13315","12120","10","1165","25","100","91","0.1","8.7","0.2"
"310","Saint John","CMA","New Brunswick","13"," ","3.6","00000","75 and over","8440","7715","10","705","15","100","91.4","0.1","8.4","0.2"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","Total","100940","78205","375","21680","680","100","77.5","0.4","21.5","0.7"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","0 to 14","16640","12300","245","3785","310","100","73.9","1.5","22.7","1.9"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","0 to 4","5400","4725","140","360","170","100","87.5","2.6","6.7","3.1"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","5 to 9","5690","4600","85","915","95","100","80.8","1.5","16.1","1.7"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","10 to 14","5550","2975","20","2510","45","100","53.6","0.4","45.2","0.8"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","15 to 24","13245","8565","10","4620","50","100","64.7","0.1","34.9","0.4"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","15 to 19","5920","3500","5","2390","25","100","59.1","0.1","40.4","0.4"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","20 to 24","7325","5065","5","2230","25","100","69.1","0.1","30.4","0.3"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","25 to 44","26560","19510","40","6860","155","100","73.5","0.2","25.8","0.6"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","45 to 64","28365","23475","55","4715","120","100","82.8","0.2","16.6","0.4"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","65 and over","16130","14360","20","1705","45","100","89","0.1","10.6","0.3"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","65 to 74","9890","8660","10","1200","20","100","87.6","0.1","12.1","0.2"
"320","Fredericton","CA","New Brunswick","13"," ","3.5","00000","75 and over","6235","5700","10","505","25","100","91.4","0.2","8.1","0.4"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","Total","30495","5805","4820","19825","50","100","19","15.8","65","0.2"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","0 to 14","3645","820","1290","1510","20","100","22.5","35.4","41.4","0.5"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","0 to 4","1075","320","490","250","15","100","29.8","45.6","23.3","1.4"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","5 to 9","1250","280","495","470","5","100","22.4","39.6","37.6","0.4"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","10 to 14","1325","220","310","785","5","100","16.6","23.4","59.2","0.4"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","15 to 24","2960","435","265","2260","0","100","14.7","9","76.4","0"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","15 to 19","1560","240","145","1170","5","100","15.4","9.3","75","0.3"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","20 to 24","1400","195","115","1085","0","100","13.9","8.2","77.5","0"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","25 to 44","6085","890","450","4725","15","100","14.6","7.4","77.6","0.2"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","45 to 64","10655","2030","1430","7190","5","100","19.1","13.4","67.5","0"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","65 and over","7150","1625","1385","4140","10","100","22.7","19.4","57.9","0.1"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","65 to 74","4515","935","855","2725","0","100","20.7","18.9","60.4","0"
"328","Bathurst","CA","New Brunswick","13"," ","4.3","00000","75 and over","2635","695","530","1410","5","100","26.4","20.1","53.5","0.2"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","Total","27200","22420","85","4675","20","100","82.4","0.3","17.2","0.1"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","0 to 14","3865","3120","40","700","10","100","80.7","1","18.1","0.3"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","0 to 4","1180","1085","15","70","5","100","91.9","1.3","5.9","0.4"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","5 to 9","1335","1130","15","190","5","100","84.6","1.1","14.2","0.4"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","10 to 14","1350","900","5","435","0","100","66.7","0.4","32.2","0"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","15 to 24","2930","2185","0","740","0","100","74.6","0","25.3","0"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","15 to 19","1530","1115","0","410","0","100","72.9","0","26.8","0"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","20 to 24","1400","1065","0","330","0","100","76.1","0","23.6","0"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","25 to 44","5670","4415","10","1240","5","100","77.9","0.2","21.9","0.1"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","45 to 64","8735","7510","20","1195","5","100","86","0.2","13.7","0.1"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","65 and over","6000","5185","15","800","5","100","86.4","0.3","13.3","0.1"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","65 to 74","3625","3110","0","515","0","100","85.8","0","14.2","0"
"329","Miramichi","CA","New Brunswick","13"," ","3.8","00000","75 and over","2370","2080","5","285","0","100","87.8","0.2","12","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","Total","15255","4070","2795","8385","0","100","26.7","18.3","55","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","0 to 14","2110","705","645","760","0","100","33.4","30.6","36","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","0 to 4","605","245","245","110","0","100","40.5","40.5","18.2","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","5 to 9","750","275","250","225","0","100","36.7","33.3","30","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","10 to 14","760","185","155","425","0","100","24.3","20.4","55.9","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","15 to 24","1530","355","125","1055","0","100","23.2","8.2","69","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","15 to 19","745","185","60","500","0","100","24.8","8.1","67.1","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","20 to 24","785","165","65","560","0","100","21","8.3","71.3","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","25 to 44","3005","590","355","2060","0","100","19.6","11.8","68.6","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","45 to 64","5315","1365","980","2970","0","100","25.7","18.4","55.9","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","65 and over","3285","1060","685","1540","0","100","32.3","20.9","46.9","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","65 to 74","1980","590","400","985","0","100","29.8","20.2","49.7","0"
"330","Campbellton","CA","New Brunswick / Quebec","13","24","6.3","00000","75 and over","1305","465","285","560","0","100","35.6","21.8","42.9","0"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","Total","23100","360","9185","13515","35","100","1.6","39.8","58.5","0.2"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","0 to 14","3095","90","2170","825","15","100","2.9","70.1","26.7","0.5"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","0 to 4","895","30","760","95","10","100","3.4","84.9","10.6","1.1"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","5 to 9","1110","35","860","205","5","100","3.2","77.5","18.5","0.5"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","10 to 14","1095","25","545","525","0","100","2.3","49.8","47.9","0"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","15 to 24","2070","25","555","1490","0","100","1.2","26.8","72","0"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","15 to 19","1085","20","310","760","0","100","1.8","28.6","70","0"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","20 to 24","985","10","245","730","0","100","1","24.9","74.1","0"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","25 to 44","4925","65","1260","3595","10","100","1.3","25.6","73","0.2"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","45 to 64","7800","90","2805","4905","5","100","1.2","36","62.9","0.1"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","65 and over","5205","90","2405","2705","5","100","1.7","46.2","52","0.1"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","65 to 74","3240","50","1310","1880","5","100","1.5","40.4","58","0.2"
"335","Edmundston","CA","New Brunswick","13"," ","4.5","00000","75 and over","1965","45","1095","825","0","100","2.3","55.7","42","0"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","Total","10040","945","2205","6875","20","100","9.4","22","68.5","0.2"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","0 to 14","1290","165","510","600","5","100","12.8","39.5","46.5","0.4"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","0 to 4","370","55","200","105","10","100","14.9","54.1","28.4","2.7"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","5 to 9","450","60","195","200","0","100","13.3","43.3","44.4","0"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","10 to 14","465","50","115","300","0","100","10.8","24.7","64.5","0"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","15 to 24","970","90","150","730","0","100","9.3","15.5","75.3","0"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","15 to 19","470","55","80","335","0","100","11.7","17","71.3","0"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","20 to 24","500","45","65","390","0","100","9","13","78","0"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","25 to 44","1850","185","205","1455","5","100","10","11.1","78.6","0.3"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","45 to 64","3290","255","655","2375","5","100","7.8","19.9","72.2","0.2"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","65 and over","2645","240","685","1715","5","100","9.1","25.9","64.8","0.2"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","65 to 74","1485","105","320","1055","5","100","7.1","21.5","71","0.3"
"35502","Hawkesbury (Ontario part)","CA","Ontario","35","24","4.8","00000","75 and over","1160","135","370","655","5","100","11.6","31.9","56.5","0.4"
