"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","20 to 24","880","795","0","85","0","100","90.3","0","9.7","0"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","25 to 44","3450","3200","0","235","5","100","92.8","0","6.8","0.1"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","45 to 64","8295","7835","0","440","15","100","94.5","0","5.3","0.2"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","65 and over","11990","11330","0","640","10","100","94.5","0","5.3","0.1"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","65 to 74","6825","6425","0","400","5","100","94.1","0","5.9","0.1"
"939","Parksville","CA","British Columbia","59"," ","4.8","00000","75 and over","5160","4910","0","240","5","100","95.2","0","4.7","0.1"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","Total","24830","23455","5","1300","65","100","94.5","0","5.2","0.3"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","0 to 14","3725","3430","0","295","5","100","92.1","0","7.9","0.1"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","0 to 4","1120","1105","0","5","5","100","98.7","0","0.4","0.4"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","5 to 9","1325","1225","0","95","0","100","92.5","0","7.2","0"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","10 to 14","1280","1090","0","190","0","100","85.2","0","14.8","0"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","15 to 24","2545","2325","0","220","5","100","91.4","0","8.6","0.2"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","15 to 19","1375","1195","0","180","0","100","86.9","0","13.1","0"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","20 to 24","1175","1135","0","40","0","100","96.6","0","3.4","0"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","25 to 44","4880","4620","0","255","5","100","94.7","0","5.2","0.1"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","45 to 64","7865","7610","0","235","20","100","96.8","0","3","0.3"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","65 and over","5810","5475","0","300","35","100","94.2","0","5.2","0.6"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","65 to 74","3505","3325","5","175","5","100","94.9","0.1","5","0.1"
"940","Port Alberni","CA","British Columbia","59"," ","4.9","00000","75 and over","2300","2150","0","125","30","100","93.5","0","5.4","1.3"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","Total","53635","48275","50","5160","155","100","90","0.1","9.6","0.3"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","0 to 14","7305","6285","25","965","25","100","86","0.3","13.2","0.3"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","0 to 4","2200","2115","20","50","15","100","96.1","0.9","2.3","0.7"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","5 to 9","2580","2195","5","370","10","100","85.1","0.2","14.3","0.4"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","10 to 14","2525","1975","0","550","0","100","78.2","0","21.8","0"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","15 to 24","5105","4300","0","790","10","100","84.2","0","15.5","0.2"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","15 to 19","2775","2215","5","545","5","100","79.8","0.2","19.6","0.2"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","20 to 24","2330","2085","0","240","5","100","89.5","0","10.3","0.2"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","25 to 44","10370","9200","10","1130","30","100","88.7","0.1","10.9","0.3"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","45 to 64","16540","15125","5","1360","50","100","91.4","0","8.2","0.3"
"943","Courtenay","CA","British Columbia","59"," ","4.0","00000","65 and over","14320","13360","5","910","40","100","93.3","0","6.4","0.3"
