"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))","Knowledge of official languages - Total (% change (2011 to 2016))","Knowledge of official languages - English only (% change (2011 to 2016))","Knowledge of official languages - French only (% change (2011 to 2016))","Knowledge of official languages - English and French (% change (2011 to 2016))","Knowledge of official languages - Neither English nor French (% change (2011 to 2016))","Knowledge of official languages - Total (% change (2006 to 2016))","Knowledge of official languages - English only (% change (2006 to 2016))","Knowledge of official languages - French only (% change (2006 to 2016))","Knowledge of official languages - English and French (% change (2006 to 2016))","Knowledge of official languages - Neither English nor French (% change (2006 to 2016))"
"48","Alberta","4.7","20000","15 to 24","500030","455160","310","43435","1140","100","91","0.1","8.7","0.2","1.1","0.9","21.6","2.3","16.9","2.5","3.8","14.8","-8.6","-7.7"
"48","Alberta","4.7","20000","15 to 19","239320","215965","140","22760","450","100","90.2","0.1","9.5","0.2","0.9","0.5","55.6","3.7","40.6","0.7","0.9","27.3","-1.1","0"
"48","Alberta","4.7","20000","20 to 24","260715","239195","165","20670","685","100","91.7","0.1","7.9","0.3","1.3","1.3","0","0.8","3.8","4.2","6.5","3.1","-15.8","-12.7"
"48","Alberta","4.7","20000","25 to 44","1224865","1122195","1030","94375","7260","100","91.6","0.1","7.7","0.6","13.8","13.6","32.9","16.2","9.3","25.6","25.3","70.2","27.8","37.9"
"48","Alberta","4.7","20000","45 to 64","1048725","977255","785","56040","14645","100","93.2","0.1","5.3","1.4","8.1","8.2","12.9","3.8","17.1","26.3","27","101.3","9.2","61.2"
"48","Alberta","4.7","20000","65 and over","475000","432255","345","22210","20185","100","91","0.1","4.7","4.2","23.6","23.4","-8","25.2","26.7","43.2","43.6","38","41.6","35.2"
"48","Alberta","4.7","20000","65 to 74","287320","262815","180","14555","9775","100","91.5","0.1","5.1","3.4","31.9","31.6","2.9","33.8","37.4","53.8","54.1","50","59","38.9"
"48","Alberta","4.7","20000","75 and over","187680","169445","165","7655","10415","100","90.3","0.1","4.1","5.5","12.7","12.4","-19.5","11.6","18.2","29.4","29.9","26.9","17","32"
"59","British Columbia","4.9","20000","Total","4598410","4127775","1805","314925","153905","100","89.8","0","6.8","3.3","5.6","5.5","-12","6.2","6.5","12.9","13","-12.8","6.5","24.8"
"59","British Columbia","4.9","20000","0 to 14","690920","617755","510","53745","18910","100","89.4","0.1","7.8","2.7","2","1.5","-13.6","11.3","-2.7","1.7","0.2","-3.8","21.3","3.1"
"59","British Columbia","4.9","20000","0 to 4","220470","201315","350","3210","15600","100","91.3","0.2","1.5","7.1","0.4","0.5","-12.5","14.6","-2.6","9.1","9.1","14.8","37.5","4"
"59","British Columbia","4.9","20000","5 to 9","236765","215215","100","19145","2305","100","90.9","0","8.1","1","8.2","7.4","-13","20.7","-2.1","7.4","5.8","-9.1","30.7","0.4"
"59","British Columbia","4.9","20000","10 to 14","233680","201230","55","31390","1005","100","86.1","0","13.4","0.4","-2.1","-3.2","-21.4","5.9","-4.7","-9","-11.9","-54.2","14.8","-3.8"
"59","British Columbia","4.9","20000","15 to 24","544990","483070","120","59545","2250","100","88.6","0","10.9","0.4","-1.6","-2.3","-14.3","5.7","-24","1.3","2","-41.5","-3","-24.5"
"59","British Columbia","4.9","20000","15 to 19","258510","222825","60","34665","960","100","86.2","0","13.4","0.4","-5.9","-7.4","0","5.1","-9.4","-5.4","-6.4","-14.3","1.9","-16.9"
"59","British Columbia","4.9","20000","20 to 24","286480","260245","60","24885","1295","100","90.8","0","8.7","0.5","2.7","2.6","-20","6.6","-31.7","8.2","10.6","-55.6","-9.1","-29"
"59","British Columbia","4.9","20000","25 to 44","1198920","1089430","365","91420","17705","100","90.9","0","7.6","1.5","4","4.5","5.8","2.8","-16.7","7","7.9","-21.5","0.9","-11.5"
"59","British Columbia","4.9","20000","45 to 64","1347040","1221365","375","70590","54705","100","90.7","0","5.2","4.1","2.7","2.7","-11.8","-1.9","7.4","15.7","16.1","-26.5","-2.7","41.5"
"59","British Columbia","4.9","20000","65 and over","816545","716150","430","39625","60340","100","87.7","0.1","4.9","7.4","23.7","23.9","-21.1","27.1","20.7","42.6","42.7","19.4","47.9","39.2"
"59","British Columbia","4.9","20000","65 to 74","484805","430150","205","26305","28150","100","88.7","0","5.4","5.8","31.7","32.3","-21.2","35","20.4","56.2","57.9","28.1","68.9","26"
"59","British Columbia","4.9","20000","75 and over","331745","286000","225","13320","32190","100","86.2","0.1","4","9.7","13.7","13","-19.6","13.8","20.9","26.6","24.6","12.5","18.7","53.3"
"60","Yukon","6.7","00100","Total","35560","30425","90","4905","140","100","85.6","0.3","13.8","0.4","5.7","4.8","0","11.1","40","17.8","14.7","-14.3","42.4","7.7"
"60","Yukon","6.7","00100","0 to 14","6250","5185","60","980","25","100","83","1","15.7","0.4","6.7","6.4","33.3","6.5","0","9.6","2.2","-7.7","79.8","25"
"60","Yukon","6.7","00100","0 to 4","2130","1950","35","125","20","100","91.5","1.6","5.9","0.9","7.6","7.1","0","19","0","23.5","23","-22.2","78.6","0"
"60","Yukon","6.7","00100","5 to 9","2110","1735","15","355","5","100","82.2","0.7","16.8","0.2","10.8","9.5","50","16.4","","15","8.8","50","54.3","-50"
"60","Yukon","6.7","00100","10 to 14","2005","1495","5","500","5","100","74.6","0.2","24.9","0.2","1.5","2.4","","-2.9","","-6.5","-21.1","-50","108.3",""
"60","Yukon","6.7","00100","15 to 24","3860","3105","0","750","5","100","80.4","0","19.4","0.1","-12.4","-16.4","-100","9.5","0","-6.9","-11.9","","24","-75"
"60","Yukon","6.7","00100","15 to 19","1910","1445","0","470","0","100","75.7","0","24.6","0","-12.8","-20.6","","27","","-15.9","-23.5","","30.6","-100"
"60","Yukon","6.7","00100","20 to 24","1950","1660","0","285","5","100","85.1","0","14.6","0.3","-12","-12.4","","-8.1","","4","1.5","","16.3",""
"60","Yukon","6.7","00100","25 to 44","10500","8780","10","1695","25","100","83.6","0.1","16.1","0.2","10.8","9.4","0","19.4","25","20.8","16.1","","54.1","-16.7"
"60","Yukon","6.7","00100","45 to 64","10810","9615","15","1135","50","100","88.9","0.1","10.5","0.5","-1.2","-0.9","-25","-3.4","66.7","14.4","15","-50","9.1","100"
"60","Yukon","6.7","00100","65 and over","4135","3745","5","345","35","100","90.6","0.1","8.3","0.8","39","37.4","-50","60.5","75","88","88.7","-50","115.6","-12.5"
"60","Yukon","6.7","00100","65 to 74","2905","2620","0","270","20","100","90.2","0","9.3","0.7","43.5","42.4","-100","58.8","100","99","100","-100","125","33.3"
"60","Yukon","6.7","00100","75 and over","1225","1130","5","75","15","100","92.2","0.4","6.1","1.2","28.9","27.7","0","36.4","50","66.7","67.4","","114.3","-40"
"61","Northwest Territories","7.5","00100","Total","41375","36840","65","4275","195","100","89","0.2","10.3","0.5","0.8","-0.5","44.4","14.9","-17","0.8","-0.5","30","16.6","-40.9"
"61","Northwest Territories","7.5","00100","0 to 14","8850","7690","35","1105","20","100","86.9","0.4","12.5","0.2","-1.6","-5.5","16.7","39.9","-50","-10.8","-15.6","40","47.3","-42.9"
"61","Northwest Territories","7.5","00100","0 to 4","3110","2945","25","125","15","100","94.7","0.8","4","0.5","-5.3","-5.9","25","31.6","-62.5","-3.3","-4.8","25","108.3","-50"
"61","Northwest Territories","7.5","00100","5 to 9","3005","2540","10","455","0","100","84.5","0.3","15.1","0","5.4","1.4","","33.8","","-3.1","-10.1","","68.5",""
"61","Northwest Territories","7.5","00100","10 to 14","2725","2205","5","515","0","100","80.9","0.2","18.9","0","-4.7","-11.8","0","47.1","-100","-24.4","-30.9","","24.1",""
