"Geographic code","Geographic name","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))","Mother tongue - Total (% change (2011 to 2016))","Mother tongue - English (% change (2011 to 2016))","Mother tongue - French (% change (2011 to 2016))","Mother tongue - Non-official language (% change (2011 to 2016))","Mother tongue - English and French (% change (2011 to 2016))","Mother tongue - English and non-official language (% change (2011 to 2016))","Mother tongue - French and non-official language (% change (2011 to 2016))","Mother tongue - English, French and non-official language (% change (2011 to 2016))","Mother tongue - Total (% change (2006 to 2016))","Mother tongue - English (% change (2006 to 2016))","Mother tongue - French (% change (2006 to 2016))","Mother tongue - Non-official language (% change (2006 to 2016))","Mother tongue - English and French (% change (2006 to 2016))","Mother tongue - English and non-official language (% change (2006 to 2016))","Mother tongue - French and non-official language (% change (2006 to 2016))","Mother tongue - English, French and non-official language (% change (2006 to 2016))"
"61","Northwest Territories","7.5","00100","65 and over","3080","1610","80","1340","0","45","5","0","100","52.3","2.6","43.5","0","1.5","0.2","0","36.6","54.8","45.5","21.8","-100","-18.2","0","","70.6","145.8","14.3","25.8","","350","",""
"61","Northwest Territories","7.5","00100","65 to 74","2200","1285","60","825","5","25","5","0","100","58.4","2.7","37.5","0.2","1.1","0.2","0","43.3","69.1","71.4","19.6","","-37.5","","","88","167.7","71.4","27.9","","150","",""
"61","Northwest Territories","7.5","00100","75 and over","880","330","20","515","0","15","5","0","100","37.5","2.3","58.5","0","1.7","0.6","0","21.4","17.9","0","25.6","","50","","","39.7","83.3","-42.9","21.2","","","",""
"62","Nunavut","7.9","00100","Total","35690","11020","595","23345","25","690","15","5","100","30.9","1.7","65.4","0.1","1.9","0","0","12.4","23.5","36.8","5.8","400","112.3","200","0","21.7","41.9","63","11.8","25","165.4","-40",""
"62","Nunavut","7.9","00100","0 to 14","11670","4005","105","7250","5","295","0","5","100","34.3","0.9","62.1","0","2.5","0","0","12.1","30.5","200","0.8","","181","","0","16.9","47.2","162.5","2.5","-50","126.9","-100",""
"62","Nunavut","7.9","00100","0 to 4","4150","1455","45","2525","5","120","0","5","100","35.1","1.1","60.8","0.1","2.9","0","0.1","4.7","22.8","200","-7","0","118.2","-100","","21.3","56.5","350","4.3","","140","",""
"62","Nunavut","7.9","00100","5 to 9","4105","1410","40","2550","0","100","0","5","100","34.3","1","62.1","0","2.4","0","0.1","23.1","36.2","166.7","13.1","-100","233.3","","","24","52.4","300","9","","233.3","",""
"62","Nunavut","7.9","00100","10 to 14","3410","1140","20","2175","0","75","0","0","100","33.4","0.6","63.8","0","2.2","0","0","9.8","33.3","100","-1.8","","200","","","4.9","31.8","33.3","-6.5","","66.7","",""
"62","Nunavut","7.9","00100","15 to 24","6145","1875","30","4095","5","135","0","0","100","30.5","0.5","66.6","0.1","2.2","0","0","2.9","23.8","-25","-5.9","","92.9","","","9.9","36.9","-33.3","-0.8","","200","",""
"62","Nunavut","7.9","00100","15 to 19","3125","930","5","2125","0","65","0","0","100","29.8","0.2","68","0","2.1","0","0","2.6","19.2","-66.7","-4.1","","116.7","-100","","-0.6","24","-75","-9.6","","160","",""
"62","Nunavut","7.9","00100","20 to 24","3015","940","25","1975","0","75","0","0","100","31.2","0.8","65.5","0","2.5","0","0","3.1","27.9","0","-7.3","","114.3","","","23.3","52.8","25","11","","275","",""
"62","Nunavut","7.9","00100","25 to 44","10305","3290","260","6560","5","185","5","0","100","31.9","2.5","63.7","0","1.8","0","0","14.2","26.8","40.5","6.8","0","105.6","","","20","41.8","73.3","8.5","","184.6","-50",""
"62","Nunavut","7.9","00100","45 to 64","6240","1680","175","4305","5","65","5","0","100","26.9","2.8","69","0.1","1","0.1","0","17.2","3.4","9.4","23.2","","44.4","","","42.8","29.7","40","47.4","-50","225","",""
"62","Nunavut","7.9","00100","65 and over","1330","170","20","1130","5","5","0","0","100","12.8","1.5","85","0.4","0.4","0","0","27.3","41.7","100","25.6","","-50","","","68.4","161.5","100","56.9","","","",""
"62","Nunavut","7.9","00100","65 to 74","990","150","15","810","0","10","0","0","100","15.2","1.5","81.8","0","1","0","0","32","50","200","26.6","","100","","","72.2","233.3","","54.3","","","",""
"62","Nunavut","7.9","00100","75 and over","345","20","5","320","5","0","0","0","100","5.8","1.4","92.8","1.4","0","0","0","19","0","0","23.1","","-100","","","60.5","0","","68.4","-50","","",""

