"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","0 to 4","590","575","0","10","0","5","0","0","100","97.5","0","1.7","0","0.8","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","5 to 9","720","705","0","5","5","0","0","0","100","97.9","0","0.7","0.7","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","10 to 14","760","745","0","5","5","0","0","0","100","98","0","0.7","0.7","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","15 to 24","1465","1440","0","20","5","0","0","0","100","98.3","0","1.4","0.3","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","15 to 19","770","755","5","10","5","0","0","0","100","98.1","0.6","1.3","0.6","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","20 to 24","695","685","0","10","0","0","0","0","100","98.6","0","1.4","0","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","25 to 44","3145","3055","5","85","5","0","0","0","100","97.1","0.2","2.7","0.2","0","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","45 to 64","4460","4395","10","40","0","5","0","0","100","98.5","0.2","0.9","0","0.1","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","65 and over","2905","2870","10","25","0","5","0","0","100","98.8","0.3","0.9","0","0.2","0","0"
"010","Grand Falls-Windsor","CA","Newfoundland and Labrador","10"," ","4.1","00000","65 to 74","1750","1730","5","15","0","0","0","0","100","98.9","0.3","0.9","0","0","0","0"
